John Biggs,1878,Forward,2,1,0,1,0,NA,Reading,United Kingdom,England,South East,Reading,October 25,1855,England
Frank Fowler,1878,No. 8,2,0,0,2,0,NA,Newbury,United Kingdom,England,South East,West Berkshire,August 16,1855,England
Howard Fowler,1878,Forward,3,1,0,2,0,NA,Tottenham,United Kingdom,England,Greater London,London,October 20,1857,England
Temple Gurdon,1878,Forward,16,12,1,3,1,NA,Norflk,g,n,i,s,January 25,1854,England
Henry Kayll,1878,Fullback,1,0,0,1,0,NA,Sunderland,United Kingdom,England,North East England,Tyne and Wear,July 16,1855,England
George Thomson,1878,Forward,9,6,1,2,1,NA,Yorks,Deutschland,10965,Berlin,Friedrichshain-Kreuzberg,November 26,1856,England
George Vernon,1878,Forward,5,4,0,1,0,NA,London,United Kingdom,England,Greater London,London,June 20,1856,England
John Bell,1878,Halfback,1,1,0,0,0,NA,Newcastle-uunder-Lym,g,n,i,s,(guess: regd Q2),Newcastle-uunder-Lym,England
Thomas Blatherwick,1878,Forward,1,1,0,0,0,NA,Quebec,Canada,Québec,Missing,Missing,December 25,1855,England
Jimmy Budd,1878,Forward,5,3,0,2,1,NA,Bristol,United Kingdom,England,South West England,City of Bristol,October 14,1853,England
Ernest Dawson,1878,Forward,1,1,0,0,0,NA,Charlottetown,Canada,Prince Edward Island,Queens County,Charlottetown,May 10,1858,England
Henry Enthoven,1878,Three-quarters,1,1,0,0,0,NA,Liverpool,United Kingdom,England,North West England,Liverpool,March 16,1855,England
Herbert Gardner,1878,Forward,1,1,0,0,1,NA,Cawnpore,Australia,Queensland,Cawnpore,Missing,December 4,1854,England
Allan Jackson,1878,Halfback,NA,NA,NA,NA,NA,NA,Spanish Town,Jamaica,Middlesex County,Saint Catherine,Spanish Town,August 12,1858,England
William Penny,1878,Fullback,3,2,0,1,1,NA,Langport,United Kingdom,England,South West England,Somerset,(guess: regd Q4),Langport,England
George Burton,1879,Forward,6,4,0,2,6,NA,Wakefield,United Kingdom,England,Yorkshire and the Humber,Wakefield,August 29,1855,England
Harry Huth,1879,Fullback,1,0,0,1,0,NA,Huddersfield,United Kingdom,England,Yorkshire and the Humber,Huddersfield,February 14,1856,England
Norman McLeod,1879,Forward,2,1,0,1,0,NA,Madras,India,600001,Tamil Nadu,Chennai,June 30,1856,England
Stuart Neame,1879,Forward,4,3,0,1,0,NA,Preston FavershaKent,g,n,i,s,June 15,1856,England
Hugh Rowley,1879,Forward,9,5,1,3,3,NA,Chorlton-upon-Medloc,g,n,i,s,(guess: regd Q2),Chorlton-upon-Medloc,England
Henry Springmann,1879,Forward,2,0,0,2,0,NA,W Derby,United Kingdom,England,North West England,Liverpool,(guess: regd Q2),W Derby,England
Henry Taylor,1879,Halfback,5,3,1,1,6,NA,Greenwich,United Kingdom,England,East of England,Suffolk,September 21,1858,England
Harold Bateson,1879,Forward,1,1,0,0,0,NA,Liverpool,United Kingdom,England,North West England,Liverpool,May 2,1855,England
William Openshaw,1879,Halfback,1,1,0,0,0,NA,Cape Town,South Africa,Western Cape,City of Cape Town,Cape Town,February 5,1852,England
