"player","team","debut","tests","win","loss","draw","points","tries","birthplace","country","month","birthyear"
"Frederick Jacob","England",1897,8,2,5,1,0,0,"Kent","ENG","January 4","1873"
"Roland Mangles","England",1897,2,0,2,0,0,0,"Guildford","ENG","February 9","1874"
"Robert Oakes","England",1897,8,2,5,1,0,0,"Hartlepool","ENG","(guess: regd Q4)","Hartlepool"
"Wilfred Stoddart","England",1897,3,1,2,0,0,0,"Liverpool","ENG","April 27","1871"
"Frank Stout","England",1897,21,5,12,4,1,5,"Gloucester","ENG","February 21","1877"
"William Bunting","England",1897,9,2,5,2,0,0,"Daventry","ENG","August 9","1874"
"Samuel Northmore","England",1897,1,0,1,0,0,0,"Cumberland","ENG","(guess: regd Q1)","Millom"
"Tot Robinson","England",1897,8,2,5,1,8,24,"Gateshead","ENG","(guess: regd Q2)","Gateshead"
"John Taylor","England",1897,11,3,8,0,1,5,"Mataura","NZ","May 26","1876"
"James Davidson","England",1897,5,2,2,1,0,0,"Aspatria, Cumberland","ENG","December 28","1868"
"Herbert Dudgeon","England",1897,7,2,4,1,0,0,"Tynemouth","ENG","September 4","1872"
"Osbert Mackie","England",1896,6,4,2,0,1,7,"Wakefield","ENG","August 23","1869"
"Joseph Blacklock","England",1898,2,0,2,0,0,0,"S Shields","ENG","October 20","1878"
"Philip Jacob","England",1898,1,0,1,0,0,0,"Seoni","INDIA","May 14","1875"
"Harry Myers","England",1898,1,0,1,0,0,0,"Leeds","ENG","February 3","1875"
"Richard Pierce","England",1898,2,0,2,0,0,0,"W Derby","ENG","May 30","1874"
"Frederick Shaw","England",1898,1,0,1,0,0,0,"Huddersfield","ENG","circa 1879","Huddersfield"
"Charles Wilson","England",1898,1,0,1,0,0,0,"Co Cork","IRE","June 2","1871"
"William Pilkington","England",1898,1,0,0,1,0,0,"Prescot","ENG","July 26","1877"
"Harold Ramsden","England",1898,2,1,0,1,0,0,"Bingley","ENG","September 6","1873"
"Arthur Rotherham","England",1891,8,4,3,1,0,4,"Coventry","ENG","May 27","1869"
"Percy Royds","England",1898,3,1,1,1,1,3,"Rochdale","ENG","April 5","1874"
"James Shaw","England",1898,2,1,0,1,0,0,"Burton","AUS","January 2","1878"
"Percy Stout","England",1898,5,1,3,1,1,3,"Gloucester","ENG","November 20","1875"
"Geoffrey Unwin","England",1898,1,0,0,1,0,0,"Ecclesall Bay","ENG","June 1","1874"
"Robert Livesay","England",1898,2,1,1,0,0,0,"Gillingham, Kent","ENG","June 27","1876"
"John Daniell","England",1899,7,4,2,1,0,0,"Bath","ENG","December 12","1878"
"Joseph Davidson","England",1899,2,0,2,0,0,0,"Chester-le-Street","ENG","October 5","1878"
"Reginald Forrest","England",1899,6,2,3,1,1,3,"Bristol","ENG","May 12","1878"
"Octopus Gamlin","England",1899,15,4,9,2,0,3,"Somerset","ENG","February 12","1878"
"George Gibson","England",1899,6,3,3,0,0,0,"Gateshead","ENG","March 14","1878"
"Charles Harper","England",1899,1,0,1,0,0,0,"Caistor","ENG","February 24","1876"
"William Mortimer","England",1896,5,3,2,0,0,0,"Warrington","ENG","April 2","1874"
"Stanley Anderson","England",1899,1,0,1,0,0,0,"r Tynemouth","ENG","August 5","1871"
"Arthur Darby","England",1899,1,0,1,0,0,0,"Chester","ENG","January 9","1876"
"John Shooter","England",1899,4,1,2,1,0,0,"Nottingham","ENG","March 25","1874"
"Aubrey Dowson","England",1899,1,0,1,0,0,0,"Stockport","ENG","November 10","1874"
"Reginald Hobbs","England",1899,2,0,2,0,0,0,"Tyldesley","ENG","January 30","1878"
"John Matters","England",1899,1,0,1,0,0,0,"Stoke Damerel","ENG","(guess: regd Q1)","Stoke Damerel"
"Reginald Schwarz","England",1899,3,0,3,0,0,0,"Lewisham","ENG","May 4","1875"
"Bim Baxter","England",1900,3,1,1,1,0,0,"Greenwich","ENG","June 8","1870"
"Fred Bell","England",1900,1,0,1,0,0,0,"Cullercoates","ENG","August 3","1876"
"Robert Bell","England",1900,3,1,1,1,0,0,"Newcastle-upon-Tyne","ENG","December 19","1875"
"Arthur Brettargh","England",1900,8,1,6,1,1,3,"Cheshire","ENG","December 22","1877"
"William Cobby","England",1900,1,0,1,0,0,0,"Hull","ENG","July 5","1877"
"Arthur Cockerham","England",1900,1,0,1,0,0,0,"Bradfo","ENG","January 7","1876"
"Sydney Coopper","England",1900,7,1,6,0,2,6,"Hoo","ENG","October 1878","Hoo"
"Gerald Gordon-Smith","England",1900,3,1,1,1,1,7,"Southampton","ENG","February 1877","Southampton"
"Wallace Jarman","England",1899,5,3,2,0,0,0,"Towcester","ENG","July 15","1872"
"George Marsden","England",1900,3,1,1,1,0,0,"Morley","ENG","October 16","1880"
"Elliot Nicholson","England",1899,4,3,1,0,1,3,"W Derby","ENG","December 13","1871"
"Shirley Reynolds","England",1900,4,1,2,1,0,0,"Lahore","INDIA","circa 1874","Lahore"
"Charles Scott","England",1900,4,1,3,0,0,0,"Wimbledon","ENG","August 26","1877"
"Harry Alexander","England",1900,7,2,4,1,0,7,"Cheshire","ENG","January 6","1879"
"John Marquis","England",1900,2,1,0,1,0,0,"Birkenhead","ENG","February 15","1876"
"Alexander Todd","England",1896,6,4,1,1,1,3,"London","ENG","September 20","1873"
"Arthur Luxmoore","England",1900,2,0,1,1,0,0,"Hendon","ENG","February 27","1876"
"Edgar Elliot","England",1901,4,0,3,1,2,6,"Sunderland","ENG","July 9","1878"
"Nigel Fletcher","England",1901,4,0,4,0,0,0,"London","ENG","August 3","1877"
"Charles Gibson","England",1901,1,0,1,0,0,0,"Gateshead","ENG","October 27","1876"
"David Graham","England",1901,1,0,1,0,0,0,"Stratford","NZ","June 1875","Aspatria?"
"Arthur O'Neill","England",1901,3,0,3,0,0,0,"","","circa 1878","?"
"Ernest Roberts","England",1901,6,0,6,0,0,0,"Lowestoft","ENG","November 14","1878"
"John Sagar","England",1901,2,0,2,0,0,0,"Easington","ENG","December 6","1878"
"Whacker Smith","England",1901,1,0,1,0,0,0,"Gloucester","ENG","July 18","1878"
"Elliott Vivyan","England",1901,4,1,2,1,3,13,"Stoke Damerel","ENG","January 6","1879"
"Katie Walton","England",1901,4,2,2,0,0,0,"York","ENG","November 1879","York"
"Charlie Hall","England",1901,2,0,2,0,0,0,"Gloucester","ENG","September 1874","Gloucester"
"Robert Wood","England",1901,3,0,3,0,0,0,"W Derby","ENG","January 3","1873"
"Norman Cox","England",1901,1,0,1,0,0,0,"Sunderland","ENG","September 3","1877"
"Charles Edgar","England",1901,1,0,1,0,0,0,"W Derby","ENG","(guess: regd Q2)","W Derby"
"Jock Hartley","England",1901,2,1,1,0,0,0,"Woodford","USA","March 16","1879"
"Toggie Kendall","England",1901,3,0,3,0,0,0,"Prescot","ENG","August 21","1878"
"Bernard Oughtred","England",1901,6,2,4,0,0,0,"Hartlepool","ENG","August 22","1880"
"Henry Weston","England",1901,1,0,1,0,0,0,"Potterspury","ENG","July 9","1869"
"Denys Dobson","England",1902,10,5,5,0,3,9,"Isle of Ma","Isle of Man","October 28","1880"
"George Fraser","England",1902,5,2,3,0,0,0,"Fulham","ENG","September 15","1877"
"John Jewitt","England",1902,1,0,1,0,0,0,"Co.Durham","ENG","(guess: regd Q2)","Quebec"
"Philip Nicholas","England",1902,1,0,1,0,0,0,"Monmouth","WAL","May 30","1876"
"John Raphael","England",1902,9,4,5,0,1,3,"Brussels","België - Belgique - Belgien","April 30","1882"
"Leonard Tosswill","England",1902,3,2,1,0,0,0,"Exeter","ENG","January 12","1880"
"Thomas Willcocks","England",1902,1,0,1,0,0,0,"Buckfastleigh","ENG","(guess: regd Q2)","Buckfastleigh"
"Samuel Williams","England",1902,7,2,5,0,2,6,"Stoke Damerel","ENG","May 14","1880"
"Peter Hardwick","England",1902,8,3,4,1,0,0,"Tynemouth","ENG","May 15","1877"
"Thomas Simpson","England",1902,11,4,6,1,3,9,"Newcastle-upon-Tyne","ENG","August 8","1881"
"Robert Bradley","England",1903,1,0,1,0,0,0,"","","date unknown",""
"Vincent Cartwright","England",1903,14,2,10,2,0,8,"Nottingham","ENG","September 10","1882"
"James Duthie","England",1903,1,0,1,0,0,0,"Hartlepool","ENG","(guess: regd Q2)","Hartlepool"
"Frankie Hulme","England",1903,5,1,4,0,0,0,"Cheshire","ENG","August 31","1881"
"Jack Miles","England",1903,1,0,1,0,0,0,"Grimsby","ENG","(guess: regd Q1)","Grimsby"
"Reginald Spooner","England",1903,1,0,1,0,0,0,"Lancs","ENG","October 21","1880"
"Walter Heppel","England",1903,1,0,1,0,0,0,"Weston-super-Mare","ENG","January 2","1877"
"Basil Hill","England",1903,9,2,5,2,0,10,"Broughty Ferry","SCO","April 23","1880"
"Edward Barrett","England",1903,1,0,1,0,0,0,"Sy","ENG","June 22","1879"
"Walter Butcher","England",1903,7,1,5,1,0,0,"Sy","ENG","February 2","1878"
"Edward Dillon","England",1904,4,1,2,1,0,0,"Kent","ENG","February 15","1881"
"Patrick Hancock","England",1903,6,1,2,3,0,0,"Assam","INDIA","July 8","1883"
"George Keeton","England",1904,3,1,1,1,0,0,"Peterborough","ENG","October 13","1878"
"Jumbo Milton","England",1904,5,1,3,1,0,0,"Cape Colony","ENG","May 1","1885"
"Norman Moore","England",1904,3,1,1,1,2,6,"Lewisham","ENG","circa 1877","Lewisham"
"Charles Newbold","England",1904,6,1,4,1,0,0,"Tunbridge Wells","ENG","January 12","1881"
"William Cave","England",1903,4,0,2,2,1,3,"Croydon","ENG","November 24","1882"
"Thomas Gibson","England",1903,5,0,3,2,0,0,"Gateshead","ENG","January 30","1880"
"Sam Irvin","England",1905,1,0,1,0,0,0,"Hartlepool","ENG","(guess: regd Q3)","Hartlepool"
"John Mathias","England",1905,4,0,4,0,0,0,"Cardigan","WAL","(guess: regd Q3)","Cardigan"
"Francis Palmer","England",1905,1,0,1,0,0,0,"Hereford","ENG","August 6","1877"
"Walter Rogers","England",1905,2,0,2,0,0,0,"Wilts","SA","September 20","1878"
"John Green","England",1905,8,3,4,1,0,0,"Skipton?","ENG","September 17","1881"
"William Grylls","England",1905,1,0,1,0,0,0,"Redruth","ENG","January 9","1885"
"Harry Shewring","England",1905,10,3,6,1,1,3,"Keynsham","ENG","April 26","1881"
"Christopher Stanger-Leathes","England",1904,2,1,1,0,0,0,"Kensington","ENG","May 9","1881"
"George Vickery","England",1905,1,0,1,0,0,0,"Chard","FR","May 25","1879"
"Curly Hammond","England",1905,8,3,5,0,0,0,"Pontefract","ENG","October 3","1879"
"Sidney Osborne","England",1905,1,0,1,0,0,0,"Camberwell","ENG","February 26","1880"
"Adrian Stoop","England",1905,15,8,5,2,2,6,"Kensington","ENG","March 27","1883"
"Jacky Braithwaite","England",1905,1,0,1,0,0,0,"Leeds","ENG","April 21","1873"
"Dai Gent","England",1905,5,1,3,1,0,0,"Llandovery","WAL","January 9","1883"
"Reginald Godfray","England",1905,1,0,1,0,0,0,"Jersey","Jersey","May 10","1880"
"Alfred Hind","England",1905,2,0,2,0,0,0,"Preston","ENG","April 7","1878"
"Henry Imrie","England",1905,2,0,2,0,1,3,"Durham","ENG","(guess: regd Q3)","Durham"
"John Jackett","England",1905,16,4,10,2,0,4,"Falmouth","ENG","July 4","1878"
"Richard Russell","England",1905,1,0,1,0,0,0,"Bingham","ENG","April 5","1879"
"George Summerscale","England",1905,1,0,1,0,0,0,"Durham","ENG","(guess: regd Q4)","Durham"
"George Dobbs","England",1906,2,0,2,0,0,0,"Kildare","IRE","July 21","1884"
"Harold Hodges","England",1906,2,0,2,0,0,0,"Mansfield Woodhouse","ENG","January 22","1886"
"Arthur Hudson","England",1906,8,4,4,0,9,27,"Gloucester","ENG","October 27","1882"
"Raphael Jago","England",1906,5,0,4,1,1,3,"Dorset","ENG","January 20","1882"
"Thomas Kelly","England",1906,12,5,6,1,0,0,"Tiverton","ENG","August 15","1882"
"Alf Kewney","England",1906,16,7,9,0,2,6,"Tynemouth","ENG","September 13","1882"
"William Mills","England",1906,11,4,6,1,4,12,"Stoke Damerel","ENG","February 2","1879"
"James Hutchinson","England",1906,1,0,1,0,0,0,"Stockton-on-Tees","ENG","(guess: regd Q2)","Stockton-on-Tees"
"Cecil Milton","England",1906,1,0,1,0,0,0,"Cape Colony","ENG","January 7","1884"
"Joseph Sandford","England",1906,1,0,1,0,0,0,"Devon","ENG","March 5","1881"
"John Birkett","England",1906,21,12,7,2,10,34,"Richmond","AUS","December 27","1884"
"Robert Dibble","England",1906,22,11,9,2,0,0,"Bridgwater","ENG","(guess: regd Q4)","Bridgwater"
"Darkie Peters","England",1906,5,2,3,0,2,6,"Salford","ENG","August 7","1879"
"Cecil Shaw","England",1906,6,2,3,1,0,0,"Wolverhampton","ENG","August 1","1879"
"Thomas Hogarth","England",1906,1,1,0,0,1,3,"Hartlepool","ENG","February 16","1878"
"Arnold Alcock","England",1906,1,0,0,1,0,0,"Staffs","KEN","August 18","1882"
"Freddie Brooks","England",1906,1,0,0,1,1,3,"Cape Town","SA","May 1","1883"
"Tremlett Batchelor","England",1907,1,1,0,0,0,0,"Wirral","ENG","June 22","1884"
"John Hopley","England",1907,3,2,1,0,0,0,"Grahamstown","SA","August 27","1883"
"Danny Lambert","England",1907,7,3,4,0,8,46,"Cranbrook","ENG","October 4","1883"
"Harry Lee","England",1907,1,1,0,0,0,0,"Dewsbury","ENG","December 8","1882"
"Billy Nanson","England",1907,2,1,1,0,1,3,"Carlisle","ENG","December 12","1880"
"Andrew Slocock","England",1907,8,3,5,0,3,9,"Stratford-on-Avon","ENG","December 25","1886"
"Thomas Wedge","England",1907,2,1,1,0,0,0,"Penzance","ENG","(guess: regd Q3)","Penzance"
"Frank Scott","England",1907,1,0,1,0,0,0,"WA","AUS","January 9","1886"
"Jumbo Leather","England",1907,1,0,1,0,0,0,"Leigh","ENG","February 22","1881"
"Arthur Pickering","England",1907,1,0,1,0,0,3,"Dewsbury","ENG","March 24","1885"
"Walter Wilson","England",1907,2,0,2,0,0,0,"QLD","AUS","June 22","1885"
"Andrew Newton","England",1907,1,0,1,0,0,0,"Co Down","IRE","September 12","1879"
"Khaki Roberts","England",1907,3,1,2,0,0,6,"Exeter","ENG","August 27","1886"
"Sydney Start","England",1907,1,0,1,0,0,0,"Salford","ENG","May 17","1879"
"Patsy Boylan","England",1908,4,2,2,0,0,0,"Hartlepool","ENG","(guess: regd Q4)","Hartlepool"
"Ernest Chambers","England",1908,3,2,0,1,0,0,"Hackney","AUS","July 24","1882"
"Harry Havelock","England",1908,3,2,1,0,0,0,"Hartlepool","ENG","(guess: regd Q1)","Hartlepool"
"Walter Lapage","England",1908,4,2,2,0,2,6,"Nantwich","ENG","February 5","1883"
"Garnet Portus","England",1908,2,2,0,0,1,3,"NSW","AUS","June 7","1883"
"Herbert Sibree","England",1908,3,2,1,0,0,0,"Antananarivo","Madagasikara","May 9","1885"
"Alf Wood","England",1908,3,2,1,0,0,8,"Wolverhampton","ENG","November 27","1883"
"R. Gilbert","England",1908,3,1,2,0,0,0,"Dartmouth","ENG","date unknown",""
"Rupert Williamson","England",1908,5,2,3,0,2,6,"South Africa?","SA","November 22","1886"
"Jumbo Vassall","England",1908,4,1,2,1,0,0,"Devon","ENG","March 23","1887"
"Fischer Burges-Watson","England",1908,2,0,2,0,1,3,"Portsea","AUS","September 1884","Portsea"
"Maffer Davey","England",1908,3,0,3,0,0,0,"Redruth","ENG","December 25","1880"
"George Lyon","England",1908,2,0,2,0,0,0,"Bankipore","INDIA","October 3","1883"
"William Oldham","England",1908,3,0,3,0,0,0,"Coventry","ENG","June 15","1887"
"Tommy Woods","England",1908,1,0,1,0,0,0,"Bridgwater","ENG","February 9","1883"
"Alec Ashcroft","England",1909,1,0,1,0,0,0,"W Derby","ENG","October 18","1887"
"Eric Assinder","England",1909,2,0,2,0,0,0,"Kings Norton","ENG","August 29","1888"
"Barrie Bennetts","England",1909,2,0,2,0,0,0,"Penzance","ENG","July 14","1883"
"John Cooper","England",1909,2,0,2,0,0,0,"Birmingham","ENG","June 3","1881"
"Percy Down","England",1908,4,0,3,1,0,0,"Clifton","SA","October 14","1882"
"Frederick Knight","England",1909,1,0,1,0,0,0,"Devon","ENG","(guess: regd Q2)","Stoke Damerel"
"Edgar Mobbs","England",1909,7,3,3,1,4,12,"Northampton","ENG","June 29","1882"
"Alfred Morris","England",1909,3,1,2,0,0,0,"Richmond","AUS","December 18","1883"
"Sid Penny","England",1909,1,0,1,0,0,0,"London","ENG","October 7","1875"
"Frank Tarr","England",1909,4,2,2,0,2,6,"Belper","ENG","August 14","1887"
"Herbert Archer","England",1908,6,2,3,1,0,0,"Bridgwater","ENG","August 1883","Bridgwater"
"Frank Handford","England",1909,7,3,4,0,0,0,"Lancs","ENG","(guess: regd Q1)","Eccles"
"Ernest Ibbitson","England",1909,4,2,2,0,0,0,"Leeds","ENG","February 1","1882"
"William Johns","England",1909,7,4,2,1,1,3,"Gloucester","ENG","February 1","1882"
"Charles Bolton","England",1909,1,1,0,0,0,0,"Kensington","ENG","January 3","1882"
"Frank Hutchinson","England",1909,3,2,1,0,1,3,"Wakefield","ENG","October 20","1885"
"Ronald Poulton-Palmer","England",1909,17,14,3,0,8,28,"Headington","ENG","September 12","1889"
"Harold Morton","England",1909,4,2,1,1,0,0,"Sheffield","ENG","January 31","1886"
"Alexander Palmer","England",1909,2,1,1,0,2,10,"Dunedin","NZ","August 2","1887"
"Arthur Wilson","England",1909,1,1,0,0,0,0,"Newcastle-upon-Tyne","ENG","December 29","1886"
"Cyril Wright","England",1909,2,1,1,0,0,0,"Oporto","POR","March 7","1887"
"Harold Harrison","England",1909,4,3,1,0,0,4,"Solihull","ENG","February 26","1889"
"Lancelot Barrington-Ward","England",1910,4,3,0,1,0,0,"Droitwich","ENG","July 4","1884"
"Harry Berry","England",1910,4,3,0,1,2,6,"Gloucester","ENG","January 8","1883"
"Fred Chapman","England",1908,8,6,1,1,1,20,"S Shields","ENG","(guess: regd Q4)","S Shields"
"Leonard Haigh","England",1910,7,4,2,1,0,0,"Prestwich","ENG","October 19","1880"
"Billy Johnston","England",1910,16,13,2,1,0,0,"Bristol","ENG","circa 1887","Bristol"
"Cherry Pillman","England",1910,20,15,4,1,8,30,"Bromley","ENG","January 8","1890"
"Fenton Smith","England",1910,5,2,2,1,0,0,"Brighton","ENG","July 21","1890"
"Bert Solomon","England",1910,1,1,0,0,1,3,"Redruth","ENG","March 8","1885"
"Leslie Hayward","England",1910,1,0,0,1,0,0,"Cheltenham","ENG","May 17","1885"
"Alan Adams","England",1910,1,1,0,0,0,0,"Greymouth","NZ","May 8","1883"
"Harry Coverdale","England",1910,4,3,1,0,0,4,"Hartlepool","ENG","March 22","1889"
"Reginald Hands","England",1910,2,2,0,0,0,0,"Cape Town","SA","July 26","1888"
"Anthony Henniker-Gotley","England",1910,6,4,2,0,0,0,"Warks","ENG","March 2","1887"
"John Ritson","England",1908,9,7,2,0,2,6,"Chester-le-Street","ENG","August 18","1887"
"Edward Scorfield","England",1910,1,1,0,0,0,0,"Preston","ENG","April 21","1882"
"Cyril Williams","England",1910,1,1,0,0,0,0,"Stroud","ENG","November 17","1887"
"Norman Wodehouse","England",1910,14,10,4,0,2,6,"Notts","ENG","May 18","1887"
"Guy Hind","England",1908,4,1,2,1,0,0,"Stoke-on-Trent","ENG","April 4","1887"
"Percy Lawrie","England",1910,2,2,0,0,1,3,"Lutterworth","ENG","September 26","1888"
"Tim Stoop","England",1910,4,2,2,0,0,0,"Kensington","ENG","September 17","1888"
"Bruno Brown","England",1911,18,14,4,0,4,12,"QLD","AUS","September 6","1888"
"John King","England",1911,12,8,4,0,0,0,"Leeds","ENG","August 21","1883"
"William Mann","England",1911,3,1,2,0,1,3,"Edmonton","CAN","January 19","1885"
"Alan Roberts","England",1911,8,5,3,0,5,15,"Newcastle-upon-Tyne","ENG","(guess: regd Q1)","Newcastle-upon-Tyne"
"John Scholfield","England",1911,1,0,1,0,1,3,"Fylde","ENG","April 6","1888"
"Samuel Williams","England",1910,7,3,4,0,0,0,"Rogerston","USA","November 2","1885"
"Ronald Lagden","England",1911,1,1,0,0,0,4,"Basutoland","","November 21","1889"
"Henry Brougham","England",1912,4,3,1,0,3,9,"Wellington College","NZ","July 8","1888"
"John Eddison","England",1912,4,3,1,0,1,3,"Edinburgh","SCO","August 25","1888"
"Dave Holland","England",1912,3,2,1,0,1,3,"Gloucester","ENG","September 1","1887"
"Alfred MacIlwaine","England",1912,5,4,1,0,0,0,"Sculcoates","ENG","March 27","1889"
"John Pym","England",1912,4,3,1,0,1,3,"Kingston","JAM","March 25","1891"
"Dick Stafford","England",1912,4,3,1,0,0,0,"Bedford","ENG","July 23","1893"
"John Greenwood","England",1912,13,11,2,0,0,30,"Lewisham","ENG","July 23","1891"
"William Hynes","England",1912,1,1,0,0,0,0,"Portsea","AUS","(guess: regd Q2)","Portsea"
"Maurice Neale","England",1910,4,2,2,0,1,3,"Thornbury","ENG","(guess: regd Q2)","Thornbury"
"William Cheesman","England",1913,4,3,1,0,0,0,"Pancras","USA","June 20","1889"
"Vincent Coates","England",1913,5,4,1,0,6,18,"Edinburgh","SCO","May 18","1889"
"Dave Davies","England",1913,22,20,1,1,4,24,"Pembroke","Malta","June 21","1890"
"Cyril Lowe","England",1913,25,21,3,1,18,58,"Lincs","WAL","October 7","1891"
"Sidney Smart","England",1913,12,10,2,0,0,0,"Gloucester","ENG","(guess: regd Q1)","Gloucester"
"Francis Steinthal","England",1913,2,2,0,0,0,0,"Bradford","ENG","November 21","1886"
"George Ward","England",1913,6,6,0,0,0,0,"Leicester","ENG","March 19","1885"
"Arthur Dingle","England",1913,3,3,0,0,0,0,"Durhm","","October 16","1891"
"Alfred Kitching","England",1913,1,1,0,0,0,0,"Scarborough","ENG","May 6","1889"
"Francis Oakeley","England",1913,4,4,0,0,0,0,"Hereford","ENG","February 5","1891"
"Joseph Brunton","England",1914,3,3,0,0,0,0,"Tynemouth","ENG","August 21","1888"
"Arthur Bull","England",1914,1,1,0,0,0,0,"Newport Pagnell","ENG","(guess: regd Q3)","Newport Pagnell"
"Alfred Maynard","England",1914,3,3,0,0,0,0,"Kent","ENG","March 23","1894"
"Tim Taylor","England",1914,1,1,0,0,0,0,"Leicester","ENG","March 18","1888"
"Bungy Watson","England",1914,3,3,0,0,1,3,"Southsea","ENG","August 31","1890"
"Pedlar Wood","England",1914,1,1,0,0,0,0,"Leicester","ENG","February 5","1886"
"Arthur Harrison","England",1914,2,2,0,0,0,0,"Torquay","ENG","February 3","1886"
"Robert Pillman","England",1914,1,1,0,0,0,0,"Kent","ENG","February 9","1893"
"Francis Stone","England",1914,1,1,0,0,0,0,"Lewisham","ENG","June 14","1886"
"Alexander Sykes","England",1914,1,1,0,0,0,0,"Birkenhead","ENG","May 29","1891"
"Barry Cumberlege","England",1920,8,6,2,0,0,2,"Newcastle-upon-Tyne","ENG","June 5","1891"
"Harold Day","England",1920,4,0,3,1,2,16,"Darjeeling","INDIA","August 12","1898"
"George Halford","England",1920,2,1,1,0,0,0,"Gloucester","ENG","November 27","1885"
"Ernest Hammett","England",1920,8,6,2,0,0,12,"Radstock","ENG","October 15","1891"
"Cecil Kershaw","England",1920,16,13,2,1,2,6,"Dhaka","BANGLADESH","February 3","1895"
