"player","team","debut","tests","win","loss","draw","points","tries","birthplace","country","month","birthyear"
"Hugh Rowley","England",1879,9,5,1,3,3,NA,"Charlton","ENG","(guess: regd Q2)","Chorlton-upon-Medloc"
"Henry Springmann","England",1879,2,0,0,2,0,NA,"W Derby","ENG","(guess: regd Q2)","W Derby"
"Henry Taylor","England",1879,5,3,1,1,6,NA,"Greenwich","ENG","September 21","1858"
"Harold Bateson","England",1879,1,1,0,0,0,NA,"Liverpool","ENG","May 2","1855"
"William Openshaw","England",1879,1,1,0,0,0,NA,"Cape Town","SA","February 5","1852"
"Henry Twynam","England",1879,8,7,0,1,4,NA,"Hants","CAN","February 14","1853"
"Sidney Ellis","England",1880,1,1,0,0,1,NA,"Lewisham","ENG","March 13","1859"
"Thomas Fry","England",1880,3,3,0,0,1,NA,"Greenwich","ENG","September 15","1858"
"Charles Gurdon","England",1880,14,10,1,3,0,NA,"Norfolk","ENG","December 3","1855"
"Robert Hunt","England",1880,4,2,0,2,2,NA,"Preston","ENG","January 21","1856"
"Barron Kilner","England",1880,1,1,0,0,0,NA,"Thornhill Lees","ENG","October 11","1852"
"Ellis Markendale","England",1880,1,1,0,0,1,NA,"Salford","ENG","November 11","1856"
"John Schofield","England",1880,1,1,0,0,0,NA,"Stretford","ENG","March 10","1858"
"Ernie Woodhead","England",1880,1,1,0,0,0,NA,"Huddersfield","ENG","February 2","1857"
"Charles Coates","England",1880,3,1,1,1,0,NA,"Lambeth","ENG","May 4","1857"
"Richard Finch","England",1880,1,1,0,0,0,NA,"Kensington","ENG","(guess: regd Q3)","Kensington"
"Charles Phillips","England",1880,3,2,0,1,0,NA,"","","August 14","1857"
"Charles Sawyer","England",1880,2,2,0,0,1,NA,"Manchester","ENG","March 20","1856"
"Charles Fernandes","England",1881,3,2,0,1,1,NA,"Wakefield","ENG","April 3","1857"
"Walter Hewitt","England",1881,4,2,0,2,0,NA,"Kent","ENG","(guess: regd Q4)","Deptford"
"John Ravenscroft","England",1881,1,1,0,0,0,NA,"Wirral","ENG","June 11","1856"
"Ryder Richardson","England",1881,1,1,0,0,0,NA,"Chorlton","ENG","September 13","1861"
"James Ward","England",1881,2,1,0,1,0,NA,"Staines","ENG","April 24","1858"
"Harry Vassall","England",1881,5,2,1,2,3,NA,"Tadcaster","ENG","October 22","1860"
"Charles Wilson","England",1881,1,1,0,0,0,NA,"Norfolk","ENG","May 12","1859"
"Frank Wright","England",1881,1,0,0,1,0,NA,"Leigh","ENG","July 2","1862"
"Teddy Beswick","England",1882,2,0,1,1,0,NA,"Penrith","WAL","(guess: regd Q3)","Penrith"
"Wilfred Bolton","England",1882,11,7,2,2,6,NA,"Worthing, Sussex","ENG","September 14","1862"
"Herbert Fuller","England",1882,6,4,1,1,0,NA,"Bath","ENG","October 4","1856"
"James Hunt","England",1882,3,1,1,1,0,NA,"Preston","ENG","(guess: regd Q1)","Longton"
"Bernard Middleton","England",1882,2,1,0,1,0,NA,"Whitehaven","ENG","December 25","1858"
"Aubrey Spurling","England",1882,1,0,0,1,0,NA,"Camberwell","ENG","July 19","1856"
"Philip Newton","England",1882,1,0,1,0,0,NA,"Brentford","ENG","April 11","1860"
"John Payne","England",1882,7,6,1,0,0,NA,"Lancs","ENG","March 19","1858"
"William Tatham","England",1882,7,6,1,0,1,NA,"Walsingham","ENG","July 30","1862"
"Arthur Evanson","England",1882,4,4,0,0,0,NA,"Llansoy","WAL","September 15","1859"
"Robert Henderson","England",1882,5,5,0,0,1,NA,"Calcutta","INDIA","December 11","1858"
"Richard Kindersley","England",1882,3,3,0,0,2,NA,"Devon","ENG","September 27","1858"
"Alan Rotherham","England",1882,12,8,1,3,2,NA,"Coventry","ENG","July 31","1862"
"Graham Standing","England",1882,2,2,0,0,0,NA,"Clapham","ENG","December 20","1860"
"Arthur Taylor","England",1882,4,4,0,0,0,NA,"Greenwich","ENG","December 7","1859"
"Gregory Wade","England",1882,8,8,0,0,7,NA,"Sydney","AUS","January 26","1863"
"Charles Wooldridge","England",1882,7,7,0,0,0,NA,"Winchester","ENG","December 31","1858"
"Edward Moore","England",1883,2,2,0,0,0,NA,"Dudley","ENG","May 25","1862"
"Richard Pattisson","England",1883,2,2,0,0,0,NA,"Tonbridge","ENG","August 5","1860"
"Henry Tristram","England",1883,5,4,0,1,0,NA,"Durham","ENG","September 5","1861"
"Charles Chapman","England",1884,1,1,0,0,0,NA,"Lincs","WAL","August 26","1860"
"Charles Marriott","England",1884,7,5,1,1,0,NA,"Suffolk","ENG","July 15","1861"
"Edward Strong","England",1884,3,3,0,0,0,NA,"Axbridge","ENG","December 1861","Axbridge"
"Henry Bell","England",1884,1,1,0,0,0,NA,"Liverpool","ENG","(guess: regd Q1)","Liverpool"
"Herbert Fallas","England",1884,1,1,0,0,0,NA,"Wakefield","ENG","November 1","1861"
"Charles Sample","England",1884,3,2,0,1,0,NA,"Castle Ward","ENG","November 22","1862"
"Alfred Teggin","England",1884,6,3,1,2,1,NA,"Manchester","ENG","October 22","1860"
"Henry Wigglesworth","England",1884,1,1,0,0,0,NA,"Doncaster","ENG","(guess: regd Q3)","Doncaster"
"Albert Wood","England",1884,1,1,0,0,0,NA,"","","date unknown",""
"Edward Court","England",1885,1,1,0,0,0,NA,"Northwich","ENG","June 22","1862"
"John Hawcridge","England",1885,2,2,0,0,2,NA,"Macclesfield","ENG","September 28","1863"
"Arthur Kemble","England",1885,3,2,1,0,0,NA,"Carlisle","ENG","February 3","1862"
"Henry Ryalls","England",1885,2,2,0,0,1,NA,"Wirral","ENG","December 12","1858"
"Frank (Slazenger-)Moss","England",1885,3,3,0,0,0,NA,"Manchester","ENG","(guess: regd Q1)","Manchester"
"Drewy Stoddart","England",1885,10,6,3,1,2,5,"S Shields","ENG","March 11","1863"
"Charles Horley","England",1885,1,1,0,0,0,NA,"Pendlebury","ENG","(guess: regd Q3)","Pendlebury"
"Fred Bonsor","England",1886,6,3,0,3,0,0,"","FRA","1862",""
"William Clibbon","England",1886,6,2,1,3,0,NA,"Co Tipperary","IRE","September 28","1859"
"Charles Elliot","England",1886,1,1,0,0,0,NA,"Sunderland","ENG","May 31","1861"
"Froude Hancock","England",1886,10,8,2,0,1,3,"Somerset","ENG","August 29","1865"
"Rupert Inglis","England",1886,3,2,0,1,0,NA,"Hanover Square","USA","May 17","1863"
"George Jeffery","England",1886,6,2,1,3,1,NA,"London","ENG","December 26","1861"
"Rawson Robertshaw","England",1886,5,2,0,3,0,NA,"Bradford","ENG","(guess: regd Q4)","Bradford"
"Edgar Wilkinson","England",1886,5,2,0,3,2,NA,"Bradford","ENG","October 27","1863"
"Norman Spurling","England",1886,3,1,0,2,0,NA,"Blackheath","ENG","February 15","1864"
"Rev Brutton","England",1886,1,0,0,1,0,NA,"Tynemouth","ENG","July 29","1864"
"Hiatt Baker","England",1887,1,0,0,1,0,NA,"Clifton","SA","June 30","1863"
"Charles Cleveland","England",1887,2,0,0,2,0,NA,"Bombay","INDIA","November 2","1866"
"John Dewhurst","England",1887,4,0,2,2,0,0,"Skipton, Yorkshire","ENG","December 27","1863"
"John Hickson","England",1887,6,2,2,2,0,0,"Clapham Common","ENG","July 18","1862"
"John le Fleming","England",1887,1,0,0,1,0,NA,"Tonbridge","ENG","October 23","1865"
"Dicky Lockwood","England",1887,14,8,4,2,5,28,"Crigglestone","ENG","November 11","1867"
"Sam Roberts","England",1887,2,0,1,1,0,NA,"","","date unknown",""
"Bob Seddon","England",1887,3,0,1,2,0,NA,"Lancashire","ENG","circa 1860","Lancashire"
"Arthur Fagan","England",1887,1,0,1,0,0,NA,"Calcutta","INDIA","November 24","1862"
"Frank Pease","England",1887,1,0,1,0,0,NA,"Darlington","WAL","January 17","1864"
"Mason Scott","England",1887,3,2,1,0,0,0,"Newcastle-upon-Tyne","ENG","December 20","1865"
"Charles Anderton","England",1889,1,1,0,0,0,0,"Machester","USA","(guess: regd Q4)","Ardwick"
"Harry Bedford","England",1889,3,3,0,0,2,2,"Leeds","ENG","(guess: regd Q1)","Gildersome"
"John Cave","England",1889,1,1,0,0,0,0,"Surbiton","ENG","February 5","1867"
"Frank Evershed","England",1889,10,7,3,0,4,7,"Staffs","KEN","September 6","1866"
"Donald Jowett","England",1889,6,5,1,0,0,2,"Bradford","ENG","December 4","1866"
"Frederick Lowrie","England",1889,2,1,1,0,0,0,"Wakefield","ENG","March 1","1868"
"Arthur Robinson","England",1889,4,3,1,0,0,0,"Darlington","WAL","November 8","1865"
"Artie Royle","England",1889,1,1,0,0,0,0,"","ENG","date unknown",""
"William Scott","England",1889,1,1,0,0,0,0,"Gateshead","ENG","March 27","1870"
"John Sutcliffe","England",1889,1,1,0,0,1,3,"nr Halifax","GER","April 14","1868"
"Harry Wilkinson","England",1889,1,1,0,0,0,0,"Halifax","CAN","(guess: regd Q2)","Halifax"
"William Yiend","England",1889,6,5,1,0,0,0,"Winchcome","","September 29","1861"
"Richard Budworth","England",1890,3,1,2,0,1,1,"Essex","ENG","October 17","1867"
"Francis Fox","England",1890,2,1,1,0,0,0,"Wellington","NZ","June 12","1863"
"Willie Mitchell","England",1890,10,7,3,0,0,3,"Quebec","CAN","May 23","1865"
"Dolly Morrison","England",1890,4,3,1,0,1,1,"Guisborough","ENG","July 30","1868"
"John Rogers","England",1890,4,2,2,0,1,1,"Aston","FR","(guess: regd Q1)","Aston"
"Jim Valentine","England",1890,4,1,3,0,0,2,"Salford","ENG","July 29","1866"
"Samuel Woods","England",1890,13,9,4,0,1,6,"NSW","AUS","April 14","1867"
"James Wright","England",1890,1,0,1,0,0,0,"Yorks","ENG","April 1","1863"
"Randolph Aston","England",1890,5,5,0,0,2,2,"Kensington","ENG","September 6","1869"
"Jack Dyson","England",1890,4,3,1,0,1,2,"Skelmanthorpe","ENG","September 6","1866"
"Edgar Holmes","England",1890,2,2,0,0,0,0,"Bradford","ENG","April 20","1862"
"Jack Toothill","England",1890,12,9,3,0,1,1,"Bradford","ENG","(guess: regd Q2)","Bradford"
"William Spence","England",1890,1,1,0,0,0,0,"Cheshire","ENG","(guess: regd Q2)","Claughton"
"Frederick Alderson","England",1891,6,4,2,0,1,11,"Nthumberlnd","ENG","June 27","1867"
"John Berry","England",1891,3,2,1,0,0,0,"Fellside","ENG","September 25","1866"
"William Bromet","England",1891,15,11,4,0,1,2,"Tadcaster","ENG","May 17","1868"
"Percy Christopherson","England",1891,2,1,1,0,2,2,"Blackheath","ENG","March 31","1866"
"Tom Kent","England",1891,6,5,1,0,0,0,"Nottingham","ENG","June 19","1864"
"William Leake","England",1891,3,2,1,0,0,0,"Ceylon","SRILANKA","December 21","1865"
"Eustace North","England",1891,3,2,1,0,0,0,"Lewisham","ENG","November 4","1868"
"James Richards","England",1891,3,2,1,0,0,0,"Warks","ENG","August 31","1867"
"Roger Wilson","England",1891,3,2,1,0,2,2,"W Derby","ENG","May 13","1870"
"Launcelot Percival","England",1891,3,2,1,0,1,2,"Clifton","SA","May 22","1869"
"Edgar Bonham-Carter","England",1891,1,0,1,0,0,0,"Kensington","ENG","April 2","1870"
"Alfred Allport","England",1892,5,3,2,0,0,0,"Brixton","ENG","September 12","1867"
"Arthur Briggs","England",1892,3,3,0,0,0,0,"","","circa 1869","?"
"Edward Bullough","England",1892,3,3,0,0,0,0,"Wigan","ENG","December 17","1866"
"Charles Emmott","England",1892,1,1,0,0,0,0,"Bradford","ENG","(guess: regd Q1)","Shipley"
"Scatter Hubbard","England",1892,2,2,0,0,1,2,"Benares","AUS","November 23","1867"
"William Nicholl","England",1892,2,2,0,0,1,2,"Yorks?","ENG","October 30","1868"
"James Pyke","England",1892,1,1,0,0,0,0,"St Helens","ENG","February 8","1866"
"Wardlaw Thomson","England",1892,4,3,1,0,1,3,"South Rhodesia","ZIM","June 27","1871"
"Abel Ashworth","England",1892,1,1,0,0,0,0,"Ashton","SA","(guess: regd Q2)","Ashton"
"Samuel Houghton","England",1892,2,2,0,0,0,0,"Runcorn","ENG","August 16","1870"
"James Marsh","England",1889,3,3,0,0,0,0,"","","circa 1866","?"
"Ernest Taylor","England",1892,14,7,7,0,2,15,"Newcastle-upon-Tyne","ENG","February 20","1869"
"Harry Bradshaw","England",1892,7,3,4,0,2,5,"Leeds","ENG","April 17","1868"
"Thomas Coop","England",1892,1,1,0,0,0,0,"Lancs","ENG","March 10","1863"
"Harry Varley","England",1892,1,1,0,0,0,0,"Yorks","ENG","November 25","1867"
"Tom Broadley","England",1893,6,1,5,0,0,0,"Bingley","ENG","August 18","1871"
"Robert de Winton","England",1893,1,0,1,0,0,0,"Hay","Nederland","September 9","1868"
"Edwin Field","England",1893,2,1,1,0,0,0,"Hampstead","ENG","December 16","1871"
"John Greenwell","England",1893,2,1,1,0,0,0,"Tynemouth","ENG","(guess: regd Q3)","Tynemouth"
"Frederick Lohden","England",1893,1,0,1,0,1,2,"Hartlepool","ENG","June 13","1871"
"Howard Marshall","England",1891,3,2,1,0,3,6,"Sunderland","ENG","December 20","1870"
"Philip Maud","England",1893,2,1,1,0,0,0,"Sudbury","ENG","August 8","1870"
