Opai Asher
Lelia Masaga
Aled de Malmanche
Owen Franks
George Whitelock
Tom Donnelly
Zac Guildford
Mike Delany
Tamati Ellison
Ben Smith
Israel Dagg
Ben Franks
Benson Stanley
Aaron Cruden
Victor Vito
Sam Whitelock
Rene Ranger
Alby Mathewson
Colin Slade
Sonny Bill Williams
Hika Elliot
Jarrad Hoeata
Brodie Retallick
Julian Savea
Aaron Smith
Sam Cane
Luke Romano
Beauden Barrett
Charlie Faumuina
Dane Coles
Tawera Kerr-Barlow
Ben Afeaki
Jeremy Thrush
Steven Luatua
Charles Piutau
Matt Todd
Ryan Crotty
Tom Taylor
Francis Saili
Dominic Bird
Frank Halai
Jeff Toomaga-Allen
Luke Whitelock
Malakai Fekitoa
TJ Perenara
Patrick Tuipulotu
Joe Moody
Nathan Harris
Augustine Pulu
James Parsons
