Harry Vassall,1881,Forward,Tadcaster,5,2,3,United Kingdom,LS24,England
Charles Wilson,1881,Forward,Norfolk,1,1,0,United Kingdom,England,East of England
Frank Wright,1881,Halfback,Leigh,1,0,0,United Kingdom,England,North West England
Teddy Beswick,1882,Three-quarters,Penrith,2,0,0,United Kingdom,England,North West England
Wilfred Bolton,1882,Three-quarters,Sx,11,7,6,Sint Maarten,Missing,Missing
Herbert Fuller,1882,Forward,Bath,6,4,0,United Kingdom,BA1,England
James Hunt,1882,Forward,Preston,3,1,0,United Kingdom,England,North West England
Bernard Middleton,1882,Forward,Whitehaven,2,1,0,United Kingdom,CA28 7XY,England
Aubrey Spurling,1882,Forward,Camberwell,1,0,0,United Kingdom,England,Greater London
Philip Newton,1882,Forward,Brentford,1,0,0,United Kingdom,England,Greater London
John Payne,1882,Halfback,Lancs,7,6,0,United Kingdom,S6 3TB,England
William Tatham,1882,Forward,Walsingham,7,6,1,United States of America,Florida,Pinellas County
Arthur Evanson,1882,Three-quarters,nr.Usk,4,4,0,g,n,i
Robert Henderson,1882,Forward,Calcutta,5,5,1,India,West Bengal,Kolkata
Richard Kindersley,1882,Forward,Devon,3,3,2,United Kingdom,England,South West England
Alan Rotherham,1882,Halfback,Coventry,12,8,2,United Kingdom,England,West Midlands
Graham Standing,1882,Forward,Clapham,2,2,0,United Kingdom,England,Greater London
Arthur Taylor,1882,Fullback,Greenwich,4,4,0,United Kingdom,England,East of England
Gregory Wade,1882,Three-quarters,NSW,8,8,7,Australia,New South Wales,Missing
Charles Wooldridge,1882,Forward,Winchester,7,7,0,United States of America,Virginia,Winchester City
Edward Moore,1883,Forward,Dudley,2,2,0,United Kingdom,England,West Midlands
Richard Pattisson,1883,Forward,Tonbridge,2,2,0,United Kingdom,England,South East
Henry Tristram,1883,Fullback,Durham,5,4,0,United Kingdom,England,North East England
Charles Chapman,1884,Three-quarters,Lincs,1,1,0,United Kingdom,Wales,Isle of Anglesey
Charles Marriott,1884,Forward,Suffolk,7,5,0,United Kingdom,England,East of England
Edward Strong,1884,Forward,Axbridge,3,3,0,United Kingdom,BS26 2,England
Henry Bell,1884,Forward,Liverpool,1,1,0,United Kingdom,England,North West England
Herbert Fallas,1884,Three-quarters,Wakefield,1,1,0,United Kingdom,England,Yorkshire and the Humber
Charles Sample,1884,Fullback,Castle Ward,3,2,0,United Kingdom,England,East of England
Alfred Teggin,1884,Forward,Manchester,6,3,1,United Kingdom,England,North West England
Henry Wigglesworth,1884,Three-quarters,Doncaster,1,1,0,United Kingdom,England,Yorkshire and the Humber
Albert Wood,1884,Forward,date unknown,1,1,0,g,n,i
Edward Court,1885,Forward,Northwich,1,1,0,United Kingdom,England,North West England
John Hawcridge,1885,Three-quarters,Macclesfield,2,2,2,United Kingdom,England,North West England
Arthur Kemble,1885,Forward,Carlisle,3,2,0,United Kingdom,England,North West England
Henry Ryalls,1885,Forward,Wirral,2,2,1,Canada,New Brunswick,Queens County
Frank (Slazenger-)Moss,1885,Forward,Manchester,3,3,0,United Kingdom,England,North West England
Drewy Stoddart,1885,Three-quarters,S Shields,10,6,2,5,United Kingdom,England,North East England
Charles Horley,1885,Forward,Pendlebury,1,1,0,United Kingdom,England,North West England
Fred Bonsor,1886,Halfback,1862,6,3,0,0,Sverige,Svealand,Örebro län
William Clibbon,1886,Forward,Co Tipperary,6,2,0,Republic of Ireland,Munster,County Tipperary
Charles Elliot,1886,Forward,Sunderland,1,1,0,United Kingdom,England,North East England
Froude Hancock,1886,Forward,Somerset,10,8,1,3,United Kingdom,England,South West England
Rupert Inglis,1886,Forward,Hanover Square,3,2,0,United States of America,13202,New York
George Jeffery,1886,Forward,London,6,2,1,United Kingdom,England,Greater London
Rawson Robertshaw,1886,Three-quarters,Bradford,5,2,0,United Kingdom,England,Yorkshire and the Humber
Edgar Wilkinson,1886,Forward,Bradford,5,2,2,United Kingdom,England,Yorkshire and the Humber
Norman Spurling,1886,Forward,Blackheath,3,1,0,United Kingdom,England,Greater London
Rev Brutton,1886,Three-quarters,Tynemouth,1,0,0,United Kingdom,England,North East England
Hiatt Baker,1887,Forward,Clifton,1,0,0,United Kingdom,England,South West England
Charles Cleveland,1887,Forward,Bombay,2,0,0,India,Maharashtra,Greater Bombay
John Dewhurst,1887,Forward,Yorks,4,0,0,0,Deutschland,10965,Berlin
John Hickson,1887,Forward,Clapham Common,6,2,0,0,United Kingdom,SW4 9DE,England
