Country,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
United Kingdom,GBR,International migrant stock (% of population),SM.POP.TOTL.ZS,3.171541985,..,..,..,..,4.67715585,..,..,..,..,5.292353573,..,..,..,..,5.598812289,..,..,..,..,5.961024122,..,..,..,..,6.252714841,..,..,..,..,6.49157678,..,..,..,..,7.222831888,..,..,..,..,8.132914822,..,..,..,..,9.664956028,..,..,..,..,10.27893044,..,..,..,..,..
United Kingdom,GBR,"International migrant stock, total",SM.POP.TOTL,1661888,..,..,..,..,2541943,..,..,..,..,2945896,..,..,..,..,3147977,..,..,..,..,3356904,..,..,..,..,3535927,..,..,..,..,3716271,..,..,..,..,4190617,..,..,..,..,4789678,..,..,..,..,5837750,..,..,..,..,6451711,..,..,..,..,..
United Kingdom,GBR,"Population, total",SP.POP.TOTL,52400000,52800000,53250000,53650000,54000000,54348050,54648500,54943600,55211700,55441750,55663250,55896223,56086065,56194527,56229974,56225800,56211968,56193492,56196504,56246951,56314216,56333829,56313641,56332848,56422072,56550268,56681396,56802050,56928327,57076711,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64106779,64510376,..
United States,USA,International migrant stock (% of population),SM.POP.TOTL.ZS,5.99188525,..,..,..,..,5.843676629,..,..,..,..,5.839390496,..,..,..,..,6.478286175,..,..,..,..,7.201852789,..,..,..,..,8.192423211,..,..,..,..,9.314456601,..,..,..,..,10.7114035,..,..,..,..,12.33830292,..,..,..,..,13.2873927,..,..,..,..,13.83988631,..,..,..,..,..
United States,USA,"International migrant stock, total",SM.POP.TOTL,10825599,..,..,..,..,11354439,..,..,..,..,11973787,..,..,..,..,13991349,..,..,..,..,16364410,..,..,..,..,19491741,..,..,..,..,23251026,..,..,..,..,28522111,..,..,..,..,34814053,..,..,..,..,39266451,..,..,..,..,42813281,..,..,..,..,..
United States,USA,"Population, total",SP.POP.TOTL,180671000,183691000,186538000,189242000,191889000,194303000,196560000,198712000,200706000,202677000,205052000,207661000,209896000,211909000,213854000,215973000,218035000,220239000,222585000,225055000,227225000,229466000,231664000,233792000,235825000,237924000,240133000,242289000,244499000,246819000,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531,318857056,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
