William Higgin,1884,Halfback,2,0,2,0,0,NA,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
Francis Levis,1884,Forward,1,0,1,0,0,NA,Co.Cork,Republic of Ireland,Munster,County Cork,Missing
Daniel Ross,1884,Three-quarters,5,0,5,0,0,NA,Co.Down,United Kingdom,Northern Ireland,County Down,Missing
William Rutherford,1884,Forward,6,1,5,0,0,NA,Tipperary,Republic of Ireland,Munster,County Tipperary,Tipperary
Alexander Gordon,1884,Forward,1,0,1,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Thomas Hobbs,1884,Forward,2,0,2,0,0,NA,Ambala,India,Haryana,Ambala,Missing
Walter Kelly,1884,Forward,1,0,1,0,0,NA,?,g,n,i,s
Lewis McIntosh,1884,Three-quarters,1,0,1,0,1,NA,?,g,n,i,s
Forbes Maguire,1884,Forward,1,0,1,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
John O'Sullivan,1884,Fullback,2,0,2,0,0,NA,Limerick,Republic of Ireland,Munster,County Limerick,Limerick
George Wheeler,1884,Fullback,2,0,2,0,0,NA,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
William Collis,1884,Forward,1,0,1,0,0,NA,?,g,n,i,s
Herbert Cook,1884,Forward,1,0,1,0,0,NA,?,g,n,i,s
John Fitzgerald,1884,Forward,1,0,1,0,0,NA,?,g,n,i,s
William Hallaran,1884,Halfback,1,0,1,0,0,NA,1861,Sverige,Svealand,Örebro län,Landskapet Närke
Alexander Hamilton,1884,Forward,1,0,1,0,0,NA,?,g,n,i,s
Walter Johnstone,1884,Forward,1,0,1,0,0,NA,Kingstown,Saint Vincent and the Grenadines,Saint George,Kingstown,Missing
Charles Jordan,1884,Wing,1,0,1,0,0,NA,date unknown,g,n,i,s
John McDaniel,1884,Wing,1,0,1,0,0,NA,Newport,United Kingdom,NP,Wales,Monmouthshire
Frederick Moore,1884,Forward,4,0,4,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Lambert Moyers,1884,Forward,1,0,1,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Thomas Allen,1885,Forward,2,0,2,0,0,NA,Derry,United Kingdom,Northern Ireland,County Londonderry,Londonderry
Robert Bradshaw,1885,Forward,3,0,3,0,0,NA,Co.Wexford,Republic of Ireland,Leinster,County Wexford,Missing
Ernie Crawford,1885,Halfback,2,0,2,0,0,NA,1861,Sverige,Svealand,Örebro län,Landskapet Närke
Thomas Lyle,1885,Forward,6,1,5,0,0,NA,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
Harry Neill,1885,Forward,9,2,7,0,0,NA,Geelong,Australia,Victoria,Barwon South West,City of Greater Geelong
John Ross,1885,Three-quarters,5,0,5,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Thomas Shanahan,1885,Forward,6,1,5,0,1,NA,Waterford,Republic of Ireland,Munster,County Waterford,Waterford
Robert Warren,1885,Halfback,15,3,11,1,1,0,Co.Meath,Republic of Ireland,Leinster,County Meath,Missing
J.A. Thompson,1885,Forward,2,0,2,0,0,NA,?,g,n,i,s
William Hogg,1885,Forward,1,0,1,0,0,NA,?,g,n,i,s
D.V. Hunter,1885,Halfback,1,0,1,0,0,NA,?,g,n,i,s
Joseph Chambers,1886,Forward,5,1,4,0,0,NA,Co Cavan,Republic of Ireland,Ulster,County Cavan,Missing
Victor le Fanu,1886,Forward,11,3,8,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Ralph Massy-Westropp,1886,Forward,1,0,1,0,0,NA,Worcester,United Kingdom,England,West Midlands,Worcestershire
Maxy Carpendale,1886,Three-quarters,4,1,3,0,0,NA,Bombay,India,Maharashtra,Greater Bombay,Mumbai
Robert Herrick,1886,Halfback,1,0,1,0,0,NA,Cork,Republic of Ireland,Munster,County Cork,Cork
J. McMordie,1886,Forward,1,0,1,0,0,NA,?,g,n,i,s
Francis Miller,1886,Forward,1,0,1,0,0,NA,?,g,n,i,s
Joseph Ross,1886,Halfback,1,0,1,0,0,NA,Co.Down,United Kingdom,Northern Ireland,County Down,Missing
Frank Stoker,1886,Forward,5,1,4,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
James Waites,1886,Forward,7,1,5,1,1,0,Lancs,United Kingdom,S6 3TB,England,Yorkshire and the Humber
John Dick,1887,Forward,3,1,2,0,0,NA,Lisburn.Co.Antrim,United Kingdom,Northern Ireland,County Antrim,Lisburn
John Macauley,1887,Forward,2,1,1,0,0,NA,Limerick,Republic of Ireland,Munster,County Limerick,Limerick
James McLaughlin,1887,Halfback,4,2,2,0,0,NA,?,g,n,i,s
Robert Montgomery,1887,Three-quarters,5,2,3,0,4,0,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
Daniel Rambaut,1887,Three-quarters,4,2,2,0,0,NA,Waterford,Republic of Ireland,Munster,County Waterford,Waterford
