Name,Team,Debut,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Dale Burleigh,Canada,2001,5,2,3,0,5,1,ON,Canada
Marco di Girolomo,Canada,2001,22,8,14,0,15,3,ON,Canada
Ron Johnstone,Canada,2001,8,4,4,0,0,0,,
Boris Stoikos,Canada,2001,1,1,0,0,0,0,ON,Canada
Colin Yukes,Canada,2001,36,11,24,1,0,0,AB,Canada
Brad Major,Canada,2001,2,0,2,0,0,0,,
Shane Thompson,Canada,2001,2,0,2,0,0,0,,
Mike Danskin,Canada,2001,3,0,3,0,8,0,BC,Canada
Mark Lawson,Canada,2002,26,10,16,0,5,1,BC,Canada
Jamie Cudmore,Canada,2002,39,12,26,1,10,2,MB,Canada
Matt King,Canada,2002,11,4,7,0,0,0,NB,Canada
Leif Carlson,Canada,2002,3,0,3,0,0,0,,
Quentin Fyffe,Canada,2003,15,6,9,0,25,5,NSW,Australia
David Moonlight,Canada,2003,4,0,4,0,0,0,ON,Canada
Chad Plater,Canada,2003,1,0,1,0,0,0,,
Pat Riordan,Canada,2003,43,20,21,2,20,4,ON,Canada
Ryan Smith,Canada,2003,51,18,31,2,45,9,ON,Canada
Aaron Abrams,Canada,2003,22,7,15,0,10,2,ON,Canada
James Pritchard,Canada,2003,62,26,34,2,607,18,NSW,Australia
Jim Douglas,Canada,2003,9,2,7,0,0,0,BC,Canada
Jeff Reid,Canada,2003,5,1,4,0,0,0,NSW,Australia
Josh Jackson,Canada,2003,24,6,17,1,0,0,ON,Canada
Pat Bickerton,Canada,2004,2,1,1,0,0,0,,
Forrest Gainer,Canada,2004,16,4,12,0,0,0,Edmonton,Canada
Stan McKeen,Canada,2004,20,7,13,0,0,0,BC,Canada
Sean O'Leary,Canada,2004,6,3,3,0,0,0,,
Alby Pasutto,Canada,2004,2,1,1,0,0,0,,
Mike Pyke,Canada,2004,22,9,12,1,40,6,BC,Canada
Mike Webb,Canada,2004,18,7,10,1,0,0,BC,Canada
Tyler Wish,Canada,2004,2,1,1,0,5,1,,
Mike Burak,Canada,2004,29,8,20,1,0,0,BC,Canada
Brian Collins,Canada,2004,2,1,1,0,0,0,,
Pat Fleck,Canada,2004,7,3,4,0,0,0,,
Tony LaCarte,Canada,2004,2,1,1,0,0,0,,
Barkley Luke,Canada,2004,2,1,1,0,0,0,,
Dan Pletch,Canada,2004,31,13,17,1,10,2,ON,Canada
Matt Weingart,Canada,2004,7,3,4,0,0,0,BC,Canada
Mike Langley,Canada,2004,2,1,1,0,0,0,,
Stirling Richmond,Canada,2004,8,1,7,0,15,3,,
Christoph Strubin,Canada,2004,2,0,2,0,0,0,BC,Canada
Derek Daypuck,Canada,2004,17,6,11,0,54,1,ON,Canada
Dave Spicer,Canada,2004,17,6,10,1,10,2,BC,Canada
Aaron Carpenter,Canada,2005,71,27,42,2,75,15,ON,Canada
Dave Ramsay,Canada,2005,1,1,0,0,0,0,Devon,England
Luke Tait,Canada,2005,20,8,12,0,5,1,ON,Canada
Ken Goodland,Canada,2005,1,1,0,0,0,0,,
Ollie Atkinson,Canada,2005,5,3,2,0,0,0,,
Brodie Henderson,Canada,2005,3,1,2,0,10,2,BC,Canada
Dean van Camp,Canada,2005,9,4,5,0,5,1,ON,Canada
Kevin Parfrey,Canada,2005,1,1,0,0,0,0,,
Simon Pacey,Canada,2005,1,0,1,0,0,0,,
Kris Witkowski,Canada,2005,3,1,2,0,0,0,Warsaw,Polska
Peter Densmore,Canada,2005,1,0,1,0,0,0,,
Casey Dunning,Canada,2005,5,1,4,0,0,0,AL,USA
Iain Exner,Canada,2005,2,0,2,0,0,0,,
Sean-Michael Stephen,Canada,2005,22,7,15,0,25,5,ON,Canada
Simon Rodgers,Canada,2005,1,0,1,0,0,0,,
Akio Tyler,Canada,2005,1,1,0,0,0,0,BC,Canada
Mike Pletch,Canada,2005,26,11,14,1,0,0,ON,Canada
Adam Kleeberger,Canada,2005,38,17,19,2,20,4,AB,Canada
Ryan McWhinney,Canada,2005,2,0,2,0,0,0,BC,Canada
Scott Hunter,Canada,2005,1,0,1,0,0,0,,
Ryan Stewart,Canada,2005,1,0,1,0,0,0,,
Justin Mensah-Coker,Canada,2006,26,12,13,1,35,7,BC,Canada
Chris Pack,Canada,2006,2,1,1,0,0,0,,
Dave Biddle,Canada,2006,6,1,5,0,0,0,BC,Canada
Matt Phinney,Canada,2006,2,0,2,0,0,0,,
Mike Barbieri,Canada,2006,2,1,1,0,0,0,ON,Canada
