Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Giuseppe Giorgio,Italy,1968,No. 8,2,2,0,0,0,0,,
Marco Pulli,Italy,1968,Centre,3,2,0,1,0,0,Parma,Italia
Ettore Abbiati,Italy,1968,Prop,11,4,6,1,7,2,CR,Costa Rica
Claudio Della Valle,Italy,1968,Centre,6,4,2,0,3,0,TV,Italy
Fernando Pignotti,Italy,1968,Centre,5,5,0,0,9,3,,
Erminio Sgorbati,Italy,1968,Flanker,2,2,0,0,0,0,,
Adolfo Gerardo,Italy,1968,Hooker,6,4,2,0,0,0,AV,Italia
Andrea Miele,Italy,1968,Prop,5,2,2,1,0,0,AV,Italia
Franco Valier,Italy,1968,Flanker,7,2,4,1,0,0,VE,Italy
Maurizio Finocchi,Italy,1968,Centre,8,4,4,0,3,1,Roma,Italia
Walter Rista,Italy,1968,Wing,5,4,1,0,9,3,CN,中国
Lucio Boccaletto,Italy,1969,Flanker,13,5,6,2,3,1,TV,Italy
Raffaele D'Orazio,Italy,1969,Hooker,1,1,0,0,0,0,Napoli,Italia
Pierluigi Pacifici,Italy,1969,Wing,9,5,4,0,19,2,L'Aquila,Italia
Luigi Bettella,Italy,1969,Lock,3,2,1,0,0,0,Padova,Italia
Italo Vittorini,Italy,1969,NA,1,1,0,0,0,0,L'Aquila,Italia
Alessandro Brunelli,Italy,1969,Hooker,3,2,1,0,0,0,Bologna,Italia
Elio Michelon,Italy,1969,Wing,7,4,3,0,34,5,Padova,Italia
Giancarlo Delli Ficorilli,Italy,1969,Hooker,1,0,1,0,0,0,AN,Spain
Rocco Caligiuri,Italy,1969,Fullback,26,10,16,0,31,2,RC,Italia
Gianmatteo Cecchin,Italy,1970,Fly-half,5,1,3,1,3,0,VI,Österreich
Lelio Lazzarini,Italy,1970,Fullback,24,6,15,3,70,0,Padova,Italia
Guido Porzio,Italy,1970,Lock,3,3,0,0,0,0,,
Corrado Possamai,Italy,1970,Prop,3,3,0,0,0,0,Treviso,Italia
Luigi Bernabo,Italy,1970,Lock,5,2,2,1,0,0,La Spezia,Italia
Angelo Sagramora,Italy,1970,Scrum-half,3,2,1,0,0,0,Venezia,Italia
Aldo Caluzzi,Italy,1970,Wing,11,3,6,2,6,0,Genova,Italia
Pietro Monfeli,Italy,1970,Hooker,13,3,8,2,0,0,VT,USA
Isidoro Quaglio,Italy,1970,Lock,15,4,10,1,0,0,Rovigo,Italia
Angelo Visentin,Italy,1970,Scrum-half,23,8,12,3,18,3,Rovigo,Italia
Umberto Cossara,Italy,1971,Flanker,24,7,13,4,4,1,Trieste,Italia
Francesco di Maura,Italy,1971,Lock,1,0,1,0,0,0,Catania,Italia
Francesco Dotto,Italy,1971,Wing,5,1,2,2,11,3,Treviso,Italia
Loris Salsi,Italy,1971,Flanker,28,10,14,4,4,1,RE,Italia
Giuseppe Puglisi,Italy,1971,No. 8,3,1,1,1,3,1,Catania,Italia
Romano Baraldi,Italy,1971,Wing,1,0,1,0,0,0,MN,USA
Savino Colombini,Italy,1971,Prop,1,0,1,0,0,0,TR,Türkiye
Ettore Piras,Italy,1971,NA,1,0,1,0,0,0,Venezia,Italia
Faustino Crepaz,Italy,1972,Wing,1,0,0,1,0,0,TN,Tunisie ⵜⵓⵏⵙ تونس
Agostino Puppo,Italy,1972,Centre,20,4,14,2,4,1,Genova,Italia
Giancarlo Cecotti,Italy,1972,No. 8,2,1,1,0,0,0,UD,Italia
Mario Galletto,Italy,1972,Fly-half,3,2,1,0,0,0,Trieste,Italia
Paolo Paoletti,Italy,1972,Hooker,20,7,12,1,0,0,RM,Italia
Giovanni di Cola,Italy,1972,Centre,3,0,2,1,0,0,Acciano.AQ,Italia
Ambrogio Bona,Italy,1972,Prop,50,23,24,3,4,1,MI,USA
Franco Paganelli,Italy,1972,NA,1,0,0,1,0,0,Roma,Italia
Salvatore Bonetti,Italy,1972,No. 8,34,12,20,2,12,3,BS,The Bahamas
Elio de Anna,Italy,1972,Wing,27,12,13,2,32,8,PN,Pitcairn Islands
Adriano Fedrigo,Italy,1972,Lock,41,17,21,3,8,2,VE,Italy
Nello Francescato,Italy,1972,Centre,42,15,25,2,24,6,CA,Canada
Fabio Gargiullo,Italy,1972,Centre,1,1,0,0,0,0,Roma,Italia
Manrico Marchetto,Italy,1972,Wing,43,19,19,5,84,21,Treviso,Italia
Francesco Vialetto,Italy,1972,Fullback,1,1,0,0,9,0,NA,
Giorgio Lari,Italy,1972,Fly-half,8,4,4,0,24,0,Roma,Italia
Edano Cottafava,Italy,1973,Wing,1,0,1,0,0,0,Novi di Modena,Italia
Paolo Fedrigo,Italy,1973,Prop,1,0,1,0,0,0,VE,Italy
Mario Piovan,Italy,1973,Lock,10,1,9,0,0,0,Padova,Italia
Crescenzo Vitelli,Italy,1973,Hooker,5,2,2,1,0,0,NA,Norge
Anacleto Altigieri,Italy,1973,Prop,27,12,14,1,0,0,VT,USA
Gerardo Cinti,Italy,1973,Wing,3,0,3,0,0,0,Roma,Italia
Gilberto Luchini,Italy,1973,Centre,2,0,2,0,0,0,Roma,Italia
Andrea Selvaggio,Italy,1973,Wing,6,1,5,0,0,0,Genova,Italia
Antonio Spagnoli,Italy,1973,NA,1,0,1,0,0,0,RM,Italia
Antonio Rocca,Italy,1973,No. 8,4,0,4,0,0,0,Padova,Italia
Arturo Bergamasco,Italy,1973,Flanker,4,1,3,0,0,0,NA,
Renzo Ganzerla,Italy,1973,Wing,2,0,2,0,0,0,VE,Italy
Luigi Mattarolo,Italy,1973,Fullback,7,1,5,1,31,1,Padova,Italia
Fabio Molinari,Italy,1973,Centre,1,0,1,0,0,0,Piacenza,Italia
Marco Pitorri,Italy,1973,NA,1,0,1,0,0,0,Roma,Italia
