Name,Team,Debut,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
David Fee,USA,2002,28,12,16,0,45,9,United States,USA
Cayo Nicolau,USA,2002,4,2,2,0,10,2,Belem,Palestinian Territory
Chris Miller,USA,2002,2,1,1,0,0,0,,
Al Lakomskis,USA,2002,4,0,4,0,0,0,Lincoln,USA
Kain Cross,USA,2003,12,6,6,0,25,5,NSW,Australia
Riaan van Zyl,USA,2003,13,7,6,0,45,9,Stellenbosch,SouthAfrica
Paul Emerick,USA,2003,53,21,32,0,85,17,United States,USA
Mark Griffin,USA,2003,9,4,5,0,0,0,Oakham,England
Christian Long,USA,2003,1,1,0,0,0,0,,
Jacob Waasdorp,USA,2003,15,5,10,0,5,1,United States,USA
Jurie Gouws,USA,2003,8,2,6,0,0,0,Durban,SouthAfrica
Matt Sherman,USA,2003,7,1,6,0,6,0,United States,USA
Gerhard Klerck,USA,2003,8,3,5,0,0,0,Pretoria,SouthAfrica
Richard Liddington,USA,2003,5,2,3,0,5,1,Stoke-on-Trent,England
Todd Clever,USA,2003,65,23,41,1,70,14,United States,USA
Matt Wyatt,USA,2003,15,5,10,0,10,2,United States,USA
Salesi Sika,USA,2003,22,4,18,0,25,5,Haveluloto,Tonga
Albert Tuipulotu,USA,2004,19,5,14,0,15,3,United States,USA
David Williams,USA,2004,11,3,8,0,0,0,Bristol,England
Francois Viljoen,USA,2004,18,5,13,0,69,1,United States,USA
Tony Petruzzella,USA,2004,9,2,7,0,0,0,,
Chris Osentowski,USA,2004,18,4,14,0,0,0,United States,USA
James Lik,USA,2005,3,1,2,0,0,0,United States,USA
Mike Palefau,USA,2005,11,2,9,0,15,3,United States,USA
Andrew Ryland,USA,2005,4,2,2,0,0,0,,
Louis Stanfill,USA,2005,56,16,39,1,15,3,United States,USA
John Hartman,USA,2005,2,0,2,0,0,0,United States,USA
Mike Mangan,USA,2005,17,4,13,0,0,0,United States,USA
Mike Hobson,USA,2005,1,1,0,0,0,0,,
Doug Rowe,USA,2005,2,1,1,0,0,0,,
Mike French,USA,2005,8,2,6,0,0,0,United States,USA
Scott Jones,USA,2005,2,1,1,0,0,0,United States,USA
Jason Pye,USA,2005,2,1,1,0,0,0,United States,USA
Carl Hansen,USA,2005,4,1,3,0,0,0,,
Vaha Esikia,USA,2006,13,3,10,0,20,4,Vava'u,Tonga
Jeff Hullinger,USA,2006,5,3,2,0,30,6,United States,USA
Owen Lentz,USA,2006,8,1,7,0,0,0,King William's Town,SouthAfrica
Tyson Meek,USA,2006,4,1,3,0,0,0,United States,USA
Pate Tuilevuka,USA,2006,10,5,5,0,12,2,Suva,Fiji
Mark Aylor,USA,2006,11,3,8,0,0,0,United States,USA
Brian Barnard,USA,2006,4,1,3,0,5,1,,
Patrick Bell,USA,2006,7,3,4,0,10,2,Pietermaritzburg,SouthAfrica
Brian Schoener,USA,2006,3,0,3,0,0,0,,
Jason Kelly,USA,2006,3,1,2,0,6,0,Timaru,NewZealand
Jeremy Nash,USA,2006,2,0,2,0,0,0,,
Scott Lawrence,USA,2006,5,3,2,0,0,0,,
Hayden Mexted,USA,2006,8,3,5,0,0,0,Whakatane,NewZealand
Justin Stencel,USA,2006,1,0,1,0,0,0,United States,USA
Chad Erskine,USA,2006,10,3,7,0,5,1,Pietermaritzburg,SouthAfrica
Adam Russell,USA,2006,2,1,1,0,0,0,United States,USA
Jon Vitale,USA,2006,3,1,2,0,0,0,United States,USA
Blake Burdette,USA,2006,9,2,7,0,0,0,United States,USA
Ron Rosser,USA,2006,2,2,0,0,0,0,United States,USA
Mark Crick,USA,2007,9,1,8,0,0,0,NSW,Australia
Nese Malifa,USA,2007,23,6,17,0,65,0,Pago Pago,USA
Pat Quinn,USA,2007,4,1,3,0,0,0,United States,USA
Chris Wyles,USA,2007,54,18,35,1,222,16,United States,USA
Tui Osborne,USA,2007,2,0,2,0,0,0,Suva,Fiji
Ben Wiedemer,USA,2007,4,0,4,0,0,0,United States,USA
Inaki Basauri Flores,USA,2007,15,5,10,0,0,0,Monterrey,Mexico
Dan Payne,USA,2007,2,0,2,0,0,0,United States,USA
Henry Bloomfield,USA,2007,5,0,5,0,0,0,United States,USA
Taku Ngwenya,USA,2007,35,11,24,0,65,13,Harare,Zimbabwe
Mate Moeakiola,USA,2007,32,9,23,0,5,1,Vaini,Tonga
Thretton Palamo,USA,2007,13,4,9,0,0,0,United States,USA
Mike Petri,USA,2007,57,19,37,1,33,6,United States,USA
Gavin DeBartolo,USA,2008,6,1,5,0,15,2,NSW,Australia
John van der Giessen,USA,2008,21,9,12,0,5,1,United States,USA
Brian Doyle,USA,2008,15,2,13,0,5,1,United States,USA
Saimone Laulaupeaalu,USA,2008,3,0,3,0,0,0,,
Jason Lett,USA,2008,3,0,3,0,0,0,Wairoa,NewZealand
Chad Slaby,USA,2008,2,0,2,0,0,0,,
Justin Boyd,USA,2008,2,0,2,0,0,0,,
Robbie Shaw,USA,2008,12,3,9,0,15,3,Bucks,England
Junior Sifa,USA,2008,8,4,4,0,5,1,Faga'alu,USA
Hayden Smith,USA,2008,29,9,19,1,0,0,NSW,Australia
JJ Gagiano,USA,2008,14,7,7,0,10,2,Cape Town,SouthAfrica
Shawn Pittman,USA,2008,30,10,20,0,0,0,United States,USA
Andrew Suniula,USA,2008,39,13,25,1,35,7,Pago Pago,USA
Joe Welch,USA,2008,5,1,4,0,5,1,United States,USA
Brian Lemay,USA,2008,1,0,1,0,0,0,United States,USA
Courtney McKay,USA,2008,3,0,3,0,0,0,,
Chris Biller,USA,2009,28,9,19,0,0,0,United States,USA
Peter Dahl,USA,2009,12,2,10,0,0,0,Christchurch,NewZealand
Nic Johnson,USA,2009,18,7,11,0,0,0,United States,USA
Will Johnson,USA,2009,4,2,2,0,0,0,United States,USA
