['Pio Tikoisuva', '1968', 'Wing', '19', '11', '7', '1', '4', '22', 'date unknown', 'g', 'n', 'i']
['Seru Naitau', '1968', 'Lock', '2', '2', '0', '0', '1', '3', 'date unknown', 'g', 'n', 'i']
['Sefanaia Ratu', '1968', 'Wing', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i']
['Senitiki Nasave', '1969', 'Centre', '20', '6', '13', '1', '3', '16', 'Nayawa', 'Viti', 'Laselase Village', 'Nayawa Street']
['George Sailosi', '1969', 'Wing', '3', '2', '1', '0', '6', '18', 'date unknown', 'g', 'n', 'i']
['Semesa Sikivou', '1969', 'Scrum-half', '7', '3', '3', '1', '3', '59', 'date unknown', 'g', 'n', 'i']
['Ilaitia Tuisese', '1969', 'No. 8, Lock', '17', '8', '8', '1', '5', '17', 'date unknown', 'g', 'n', 'i']
['Inia Namua', '1969', 'Centre', '1', '1', '0', '0', '2', '8', 'date unknown', 'g', 'n', 'i']
['Atonio Racika', '1969', 'Hooker', '30', '13', '16', '1', '5', '19', 'date unknown', 'g', 'n', 'i']
['Josateki Radrodro', '1970', 'Wing', '3', '1', '1', '1', '1', '3', 'date unknown', 'g', 'n', 'i']
['Jo Sovau', '1970', 'Prop', '11', '3', '7', '1', '2', '9', 'circa 1951', 'Per\xc3\xba', 'Tacna', 'Candarave']
