Jean Lobies,1921,Wing,3,1,2,0,0,0,Bone,Deutschland,Sachsen-Anhalt,Landkreis Anhalt-Bitterfeld
Roger Piteu,1921,Scrum-half,15,2,11,2,2,6,Pau,France,64000,France métropolitaine
Fernand Vaquer,1921,"No. 8, Lock",3,1,2,0,0,0,Latour-bas-Elne,France,66200,France métropolitaine
Adolphe Bousquet,1921,Fly-half,3,2,1,0,0,0,Beziers,France,34500,France métropolitaine
Edmond Cayrefourcq,1921,Wing,1,0,1,0,0,0,Tarbes,France,65000,France métropolitaine
Charles-Anthoin Gonnet,1921,Hooker,16,4,11,1,0,5,Laon,France,02000,France métropolitaine
Jacques Baquey,1921,Wing,1,1,0,0,0,0,Saint-Medard-en-Jall,France,33160,France métropolitaine
Marcel de Laborderie,1921,"Wing, Centre",4,1,3,0,1,3,Buenos Aires,Argentina,CABA,Comuna 6
Maurice Jeangrand,1921,"Centre, Wing",1,1,0,0,0,0,Lourdes,France,65100,France métropolitaine
Francois Cahuc,1922,Flanker,1,0,0,1,0,0,Pamiers,France,09100,France métropolitaine
Joseph Pascot,1922,Fly-half,6,0,4,2,1,3,Port-Vendres,France,66660,France métropolitaine
Andre Lafond,1922,Wing,1,0,0,1,0,0,Le Bouceau,g,n,i
Roger Ramis,1922,"Centre, Wing",3,0,2,1,0,0,Perpignan,France,66000;66100,France métropolitaine
Louis Beguet,1922,"Hooker, Prop",10,3,7,0,1,32,Neuf-Mesnil,France,59330,France métropolitaine
Jean Bernon,1922,"Prop, Lock",2,0,2,0,0,0,Toulouse,France,31000;31100;31200;31300;31400;31500,France métropolitaine
Albert Etchepare,1922,Flanker,1,0,1,0,0,0,Biaudos,France,40390,France métropolitaine
Noel Sicart,1922,Back-row,1,0,1,0,0,0,Perpignan,France,66000;66100,France métropolitaine
Jean Bayard,1923,Hooker,6,1,5,0,0,0,Toulouse,France,31000;31100;31200;31300;31400;31500,France métropolitaine
Clement Dupont,1923,Scrum-half,16,7,9,0,0,0,Argeles-Gazost,France,65400,France métropolitaine
Max Lalande,1923,Wing,3,1,2,0,1,3,Chateaurenard,France,13160,France métropolitaine
Henri Behoteguy,1923,Centre,6,2,4,0,1,3,Bayonne,France,64100,France métropolitaine
Jean Castets,1923,Lock,3,1,2,0,0,0,Le Boucau,France,64340,France métropolitaine
Jean Etcheberry,1923,"Prop, Flanker, No. 8",16,3,13,0,1,3,Le Boucau,France,64340,France métropolitaine
Charles Lacazedieu,1923,"Fly-half, Scrum-half",5,1,4,0,0,0,Dax,France,40100,France métropolitaine
Andre Behoteguy,1923,Centre,19,6,13,0,5,28,Bayonne,France,64100,France métropolitaine
