Name,Country,City,Team,OtherName
Lorenzo Romano,Italy,Bagno a Ripoli,Italy,
Andrea de Marchi,Italy,"Montebelluna, Veneto",Italy,
Alberto Sgarbi,Italy,"Montebelluna, Veneto",Italy,
Antonio Pavanello,Italy,Agordo,Italy,
Enrico Pavanello,Italy,"Montebelluna, Veneto",Italy,
Martin Castrogiovanni,Argentina,Parana,Italy,
Andrea Muraro,Italy,"Conselve, Padua",Italy,
Filippo Frati,Italy,"Noceto, Parma",Italy,
Simone Babbo,Italy,San Dona di Piave,Italy,
Kaino Thomsen-Fuataaga,Samoa,"Faga'alu, Western Samoa",Samoa,
Josh Mann-Rea,Australia,"Narromine, NSW",Australia,
Kane Douglas,Australia,"Maclean, NSW",Australia,
Ben McCalman,Australia,"Dubbo, NSW",Australia,
Guy Shepherdson,Indonesia,Jakarta,Australia,
Alex Kanaar,Australia,"Nowra, NSW",Australia,
George Smith,Australia,"Manly, Sydney",Australia,
Jeff Miller,USA,"Prescott, Arizona",Australia,
Gary Ella,Australia,"La Perouse, Sydney, NSW",Australia,
Stan Pilecki,Germany,Augustdorf,Australia,
Arthur Summons,Australia,"Paddington, Sydney, NSW",Australia,Arthur James Summons
Mac Hughes,Australia,"Albury, NSW",Australia,Norman (Mac) Hughes
John Solomon,Australia,"Randwick, NSW",Australia,
Jan McShane,Australia,"Tamworth, NSW",Australia,
Bob Westfield,NewZealand,Hunterville,Australia,
Rob Heming,PNG,New Ireland,Australia,
Lionel Weston,England,"Wenlock, Shropshire",England,Lionel Edward Weston
Dusty Hare,England,Newark-on-Trent,England,"William Henry ""Dusty"" Hare"
Gary Pearce,England,"Dinton, Buckinghamshire",England,Gary Stephen Pearce
Les Cusworth,England,"Normanton, West Yorkshire",England,
Alex Corbisiero,USA,New York,England,
Tug Wilson,SouthAfrica,"Wilderness, Western Cape",England,"Dyson Stayt ""Tug"" Wilson"
David Marques,England,"Ware, Hertfordshire",England,Reginald William David Marques
Brian Black,SouthAfrica,Grahamstown,England,
Tony Novis,India,,England,
Maurice McCanlis,India,"Queta, Baluchistan",England,Maurice Alfred McCanlis
Edward Knowles,England,"Waberthwaite, Cumbria",,
John Taylor,England,"Whitwood Mere, Castleford, Yorkshire",England,John T. Taylor
James Davidson,England,"Aspatria, Cumberland",England,
Robert Livesay,England,"Gillingham, Kent",England,Robert O'Hara Livesay
Bim Baxter,England,Greenwich,England,
Ronald Gerrard,HongKong,Hong Kong,England,Ronald Anderson Gerrard
Ron Wilson,England,"Teddington, Middlesex",Scotland,
Clive Ashby,Mozambique,Lorenzo Marques,England,Roland Clive Ashby
Bob Hiller,England,"Woking, Surrey",England,Robert (Bob) Hiller
Derek Prout,England,"Launceston, Cornwall",England,Derek Henry Prout
John Spencer,England,"Grassington, Yorkshire",England,John Southern Spencer
