Place,Name,Years,Tests,Matches,Number
"Christchurch, New Zealand","Holden, Arthur William",1928,0,3,349
"Glasgow, Scotland","Howden, James",1928,0,1,358
"Hokitika, New Zealand","Freitas, Daniel Frank Errol",1928,0,4,348
"Islington, New Zealand","Scrimshaw, George",1928,1,10,332
"Lawrence, New Zealand","McClymont, William Graham",1928,0,3,351
"Lyttelton, New Zealand","Page, Milford Laurenson",1928,0,1,361
"Masterton, New Zealand","Willoughby, Stanley de Lar Poer",1928,0,4,355
"New Plymouth, New Zealand","Mackay, James Douglas",1928,0,2,359
"Prebbleton, New Zealand","Burrows, James Thomas",1928,0,9,336
"Rangiora, New Zealand","Mehrtens, George Martin",1928,0,3,356
"Smithfield, New Zealand","Clark, Francis Leslie",1928,0,4,347
"Studholm, New Zealand","Lindsay, David Frederick",1928,3,11,338
"Sydney, Australia","Swain, John Patterson",1928,4,12,333
"Timaru, New Zealand","Ward, Edward Percival",1928,0,10,335
"Unknown, New Zealand","Robinson, John Topi",1928,0,3,357
"Wangaroa, New Zealand","Hadley, Swinbourne",1928,4,7,330
"Wellington, New Zealand","Mackenzie, Robert Henry Craig",1928,0,2,360
"Wellington, New Zealand","Rushbrook, Charles Archibald",1928,0,10,340
"Auckland, New Zealand","Waterman, Alfred Clarence",1929,2,5,367
"Cambusnethan, Scotland","Souter, Robert",1929,0,4,372
"Chertsey, New Zealand","Stringfellow, John Clinton",1929,2,5,368
"Clareville, New Zealand","Reid, Keith Howard",1929,2,3,365
"Dunedin, New Zealand","Sonntag, William Theodore Charles",1929,3,5,366
"Featherston, New Zealand","Cundy, Rawi Tama",1929,1,5,363
"Invercargill, New Zealand","Geddes, John Herbert",1929,1,5,369
"Mangakahia, New Zealand","Heke, Wiremu Rika",1929,3,3,364
"Masterton, New Zealand","Reside, Walter Brown",1929,1,5,371
"Thames, New Zealand","Kivell, Alfred Louis",1929,2,3,375
"Tikokino, New Zealand","Tuck, Jack Manson",1929,3,3,373
"Wellington, New Zealand","Leys, Eric Tiki",1929,1,4,374
