Walter Davis,NZ,,,,
Jum Sampson,NZ,Waihi,,,
William Murphy,IRE,,,,
"Roy Chambers""",AUS,Dulwich,,,
Roland Raymond,FIJ,,,,
John Hill,,,,,
Patrick Mulligan,SA,,,,
Haggis Lang,INDIA,Multan,,,
Peter Kay,AUS,Adelaide,,,
Toutai Kefu,TON,,,,
Owen Farrell,ENG,Wigan,,,
Charlie Sharples,HK,Hong Kong,,,
Matt Banahan,ENG,Channel Islands,,,
Jamie Salmon,ENG,,,,
David Cooke,AUS,Brisbane,,,
,,,,,
Francis Kilby,,,,,"Bates, Steven Paul"
Jack Manchester,,,,,"Anesi, Sosene Raymond"
Bunk Pollock,,,,,"Senio, Kevin"
Joe Procter,,,,,"Witcombe, Derren John Charles"
Ray Clarke,,,,,"Johnstone, Campbell Richard"
Arthur Collins,,,,,"Macdonald, Angus James"
Gordon Innes,,,,,"Hamilton, Scott Elliot"
Bill Hadley,,,,,"Dermody, Clarke"
Bubs Knight,,,,,"Tuitavake, Anthony Samuel Mosolini"
Arthur Lambourn,,,,,"Wulf, Rudolffe Nicholas"
Roderick McKenzie,,,,,"Mackintosh, Jamie Lachlan"
Ned Barry,,,,,"O'Neill, Kevin John"
Jack Griffiths,,,,,"Ross, Isaac Beattie"
Edward Holder,,,,,"Evans, Bryn Robert"
Ron King,,,,,"Whitelock, George Braeden"
Hawea Mataira,,,,,"Delany, Mike. Peter"
Mike Gilbert,,,,,"Latimer, Tanerau Dylan"
Tonk Mahoney,,,,,"Masaga, Lelia Tony Corona"
Brushy Mitchell,,,,,"Stanley, Benson Joel"
Tori Reid,,,,,"Hoeata, Jarrad Michael Robert Alexander"
Joey Sadler,,,,,"Afeaki, Ben"
Doug Dalton,,,,,"Luatua, Dolph Steven"
Snowy Tindill,,,,,"Piutau, Salesi Tu'ipulotu"
Everard Jackson,,,,,"Saili, Francis"
Shorty Killeen,,,,,"Taylor, Thomas James"
John Rankin,,,,,"Todd, Matthew Brendon"
Jim Watt,,,,,"Crotty, Ryan"
Jock Wells,,,,,"Whitelock, Luke Charles"
Colin Gillies,,,,,"Halai, Frank"
Ronald Ward,,,,,"Bird, Dominic Joseph"
Donald Cobden,,,,,"Thrush, Jeremy Ian"
John Dick,,,,,"Toomaga-Allen, Jeffery Latu"
John Hooper,,,,,"Tuipulotu, Patrick Tito"
Allan Parkhill,,,,,"Fekitoa, Malakai Fonokalafi"
Harold Simon,,,,,"Duncan, James"
John Sullivan,,,,,"Smith, George William"
John Taylor,,,,,
David Trevathan,,,,,"McGregor, Robert Wylie"
Bill Phillips,,,,,
Trevor Berghan,,,,,"Cross, Thomas William"
Snow Bowman,,,,,
Les George,,,,,
Harold Milliken,,,,,
Thomas Morrison,,,,,
Charlie Quaid,,,,,
Charles Saxton,,,,,"Tyler, George Alfred"
Fred Allen,,,,,"McGregor, Duncan"
Wally Argus,,,,,
Has Catley,,,,,
John Dunn,,,,,"Spencer, John Clarence"
Ken Elliott,,,,,"Stead, John William"
Ron Elvidge,,,,,"Wallace, William Joseph"
Jack Finlay,,,,,"Harper, Eric Tristram"
Harry Frazer,,,,,"Glenn, William Spiers"
Jimmy Haig,,,,,
Maurice McHugh,,,,,"Abbott, Harold Louis"
Pat Rhind,,,,,"Newton, Frederick"
Bob Scott,,,,,"Mackrell, William Henry"
John Smith,,,,,"Johnston, William"
Roy White,,,,,
Charlie Willocks,,,,,"Booth, Ernest Edward"
John McRae,,,,,
Eric Boggs,,,,,
Thomas Budd,,,,,
Maurice Goddard,,,,,
Keith Arnold,,,,,
Ben Couch,,,,,"Thomson, Hector Douglas"
Ray Dalton,,,,,"Mynott, Harry Jonas"
Goldie Grant,,,,,"Francis, Arthur Reginald Howe"
John McLean,,,,,"Roberts, Frederick"
Johnny Simpson,,,,,"McDonald, Alexander"
Percy Tetzlaff,,,,,"Colman, John Thomas Henry"
Neville Thornton,,,,,"Fryer, Frank Cunningham"
Jim Kearney,,,,,"Paton, Henry"
Tim Mason,,,,,"Mitchinson, Frank Edwin"
Lester Harvey,,,,,"Hughes, Edward"
Sammy Henderson,,,,,"Paterson, Alexander Marshall"
Jack McNab,,,,,"Burns, Patrick James"
Laurence Savage,,,,,"Gray, George Donaldson"
Kevin Skinner,,,,,"Wilson, Nathaniel Arthur"
