['Samuela Domoni', '1952', 'Centre', '3', '2', '1', '0', '1', '3', '1968', '\xd0\xa0\xd0\xbe\xd1\x81\xd1\x81\xd0\xb8\xd1\x8f', '\xd0\xa1\xd0\x9a\xd0\xa4\xd0\x9e', '\xd0\x9a\xd0\xb0\xd1\x80\xd0\xb0\xd1\x87\xd0\xb0\xd0\xb5\xd0\xb2\xd0\xbe-\xd0\xa7\xd0\xb5\xd1\x80\xd0\xba\xd0\xb5\xd1\x81\xd0\xb8\xd1\x8f', '\xd0\x9a\xd0\xb0\xd1\x80\xd0\xb0\xd1\x87\xd0\xb0\xd0\xb5\xd0\xb2\xd1\x81\xd0\xba\xd0\xb8\xd0\xb9 \xd1\x80\xd0\xb0\xd0\xb9\xd0\xbe\xd0\xbd']
['Navitalai Taga', '1952', 'Centre', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Mesake Biumaiwai', '1954', 'Centre', '4', '1', '3', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Aminisitai Burogolevu', '1954', 'Wing', '2', '1', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Gabirieli Naborisi', '1954', 'Flanker', '1', '0', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Apenisa Nawalu', '1954', 'Prop', '4', '1', '3', '0', '0', '3', 'date unknown', 'g', 'n', 'i', 's']
['Josefa Saukuru', '1954', 'Hooker', '15', '10', '5', '0', '2', '19', 'date unknown', 'g', 'n', 'i', 's']
['Orisi Dawai', '1954', 'Wing', '12', '6', '5', '1', '5', '15', 'date unknown', 'g', 'n', 'i', 's']
['Tomasi Naidole', '1954', 'Wing', '7', '5', '2', '0', '0', '4', 'Malomalo', 'g', 'n', 'i', 's']
['Ratulevu Silatolu', '1954', '', '3', '1', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Ravuama Vunakece', '1954', 'Prop', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Senitiki Naurisau', '1954', 'Hooker', '2', '0', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Aseri Kunawave', '1957', 'Centre', '6', '4', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Jese Mucunabitu', '1957', 'Scrum-half', '9', '4', '5', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Nacanieli Nabaro', '1957', 'Flanker', '7', '2', '4', '1', '3', '9', 'date unknown', 'g', 'n', 'i', 's']
['Mikaele Naikovu', '1957', 'Hooker', '5', '4', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Paula Nayacakalou', '1957', 'No. 8', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Sanaila Sautu', '1957', 'Prop', '5', '4', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Anare Secake', '1957', 'Flanker', '3', '2', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Jone Tabaiwalu', '1957', 'Lock', '11', '6', '4', '1', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Baniua Tanivukavu', '1957', 'Wing', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Nat Uluiviti', '1957', 'Fullback', '3', '2', '1', '0', '0', '23', 'Natauloa', 'g', 'n', 'i', 's']
['Apenisa Kuruisaqila', '1957', 'Flanker', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Peni Wadali', '1957', 'Flanker', '1', '1', '0', '0', '0', '0', 'circa 1932', 'Per\xc3\xba', 'Tacna', 'Candarave', 'Circa']
['Kaiava Bose', '1958', 'Fly-half', '7', '2', '4', '1', '0', '8', 'date unknown', 'g', 'n', 'i', 's']
['Ilaitia Ravouvou', '1958', 'Lock', '4', '2', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Maika Ravula', '1958', 'Flanker', '3', '2', '1', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Inoke Tabualevu', '1958', 'Fullback', '6', '4', '1', '1', '1', '27', 'circa 1936', 'Per\xc3\xba', 'Tacna', 'Candarave', 'Circa']
['Eremasi Lovodua', '1958', 'Wing', '11', '6', '4', '1', '8', '36', 'date unknown', 'g', 'n', 'i', 's']
['Seru Tuisese', '1958', 'Fullback', '8', '5', '3', '0', '0', '3', 'date unknown', 'g', 'n', 'i', 's']
['Patimio Tatukivei', '1958', 'Flanker', '1', '0', '1', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Peni Rika', '1958', 'Scrum-half', '2', '1', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Suliasi Cavu', '1958', 'Prop', '13', '8', '5', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Ulaiasi Radike', '1959', 'Wing', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Sakiusa Tuva', '1959', 'Hooker', '4', '0', '3', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Eliki Gaunavou', '1961', 'Fullback', '3', '0', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Sailosi Kepa', '1961', 'Flanker', '1', '0', '1', '0', '0', '0', 'circa 1938', 'Per\xc3\xba', 'Tacna', 'Candarave', 'Circa']
['Jone Nabou', '1961', 'Flanker', '3', '0', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Joeli Naucabalavu', '1961', 'Lock, No. 8', '8', '3', '4', '1', '2', '6', 'Kumi', 'Uganda', 'Eastern Region', 'Teso', 'Kumi']
['Simione Rarasea', '1961', 'Centre', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Seteo Rasau', '1961', 'Prop', '3', '0', '2', '1', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Nemesio Ratuveilawa', '1961', 'Scrum-half', '6', '5', '1', '0', '3', '13', 'date unknown', 'g', 'n', 'i', 's']
['Eparama Ravi', '1961', 'Centre', '3', '0', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Josua Vadugu', '1961', 'Prop', '2', '0', '1', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Vereniki Nalio', '1961', 'Flanker', '8', '3', '4', '1', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Sitiveni Tawase', '1961', 'Scrum-half', '2', '0', '1', '1', '0', '3', 'date unknown', 'g', 'n', 'i', 's']
['Epeli Rayawa', '1961', 'Prop', '1', '0', '0', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Epi Bolawaqatabu', '1963', 'Flanker', '16', '10', '5', '1', '10', '30', 'date unknown', 'g', 'n', 'i', 's']
['Vinaiya Buli', '1963', 'Centre', '4', '4', '0', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Suliasi Daunitutu', '1963', 'Wing', '8', '5', '3', '0', '4', '12', 'date unknown', 'g', 'n', 'i', 's']
['Jope Snr. Naucabalavu Snr.', '1963', 'Lock', '19', '12', '5', '2', '4', '12', 'date unknown', 'g', 'n', 'i', 's']
['Jone Raikuna', '1963', 'Fly-half', '15', '9', '5', '1', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Petero Rasiosateki', '1963', 'Utility back', '6', '3', '3', '0', '0', '9', 'date unknown', 'g', 'n', 'i', 's']
